target,objective_variant,materializer,beam_width,candidate_kind,summary_path,candidate_dir,tcount,tdepth,qasm_depth,num_total_cnots,primary_nc_depth_ratio,qasm_depth_ratio,verification_status,verification_error,proof_path,runtime_sec,original_normalization_status,candidate_normalization_status
hamming_weight_n6,frontier_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n6/frontier_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n6/frontier_pair/selected-beam-shared-parity-w32,25.0,4.0,172.0,82.0,0.8301886792452831,4.777777777777778,equal,,results/verification/alphaq_external_article_extended/proofs/hamming_weight_n6/frontier_pair/selected-beam-shared-parity-w32.verify.txt,0.022365808486938477,ok,ok
hamming_weight_n6,mixed_pair,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n6/mixed_pair/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n6/mixed_pair/selected-beam-shared-parity-w16,26.0,4.0,172.0,80.0,0.9245283018867925,4.777777777777778,equal,,results/verification/alphaq_external_article_extended/proofs/hamming_weight_n6/mixed_pair/selected-beam-shared-parity-w16.verify.txt,0.02179408073425293,ok,ok
hamming_weight_n7,factor_count,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n7/factor_count/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n7/factor_count/selected-beam-shared-parity-w16,34.0,6.0,214.0,110.0,1.0833333333333333,5.219512195121951,equal,,results/verification/alphaq_external_article_extended/proofs/hamming_weight_n7/factor_count/selected-beam-shared-parity-w16.verify.txt,0.060717105865478516,ok,ok
hamming_weight_n7,factor_count_pair_cap,selected-beam-shared-parity-w4,4,,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n7/factor_count_pair_cap/selected-beam-shared-parity-w4/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n7/factor_count_pair_cap/selected-beam-shared-parity-w4,36.0,7.0,221.0,130.0,1.2833333333333334,5.390243902439025,equal,,results/verification/alphaq_external_article_extended/proofs/hamming_weight_n7/factor_count_pair_cap/selected-beam-shared-parity-w4.verify.txt,0.0614168643951416,ok,ok
hamming_weight_n7,frontier_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n7/frontier_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n7/frontier_pair/selected-beam-shared-parity-w32,28.0,4.0,193.0,78.0,0.7333333333333333,4.7073170731707314,equal,,results/verification/alphaq_external_article_extended/proofs/hamming_weight_n7/frontier_pair/selected-beam-shared-parity-w32.verify.txt,0.027491092681884766,ok,ok
hamming_weight_n7,mixed_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n7/mixed_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n7/mixed_pair/selected-beam-shared-parity-w32,36.0,5.0,210.0,114.0,1.25,5.121951219512195,equal,,results/verification/alphaq_external_article_extended/proofs/hamming_weight_n7/mixed_pair/selected-beam-shared-parity-w32.verify.txt,0.040618896484375,ok,ok
mod_mult_55,factor_count,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_extended/mod_mult_55/factor_count/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/mod_mult_55/factor_count/selected-beam-shared-parity-w32,20.0,6.0,257.0,78.0,0.6767676767676768,4.283333333333333,equal,,results/verification/alphaq_external_article_extended/proofs/mod_mult_55/factor_count/selected-beam-shared-parity-w32.verify.txt,0.049813032150268555,ok,ok
mod_mult_55,factor_count_pair_cap,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_extended/mod_mult_55/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/mod_mult_55/factor_count_pair_cap/selected-beam-shared-parity-w16,28.0,5.0,264.0,86.0,0.6262626262626263,4.4,equal,,results/verification/alphaq_external_article_extended/proofs/mod_mult_55/factor_count_pair_cap/selected-beam-shared-parity-w16.verify.txt,0.0694737434387207,ok,ok
mod_mult_55,frontier_pair,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_extended/mod_mult_55/frontier_pair/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/mod_mult_55/frontier_pair/selected-beam-shared-parity-w16,29.0,4.0,264.0,90.0,0.7373737373737373,4.4,equal,,results/verification/alphaq_external_article_extended/proofs/mod_mult_55/frontier_pair/selected-beam-shared-parity-w16.verify.txt,0.051661014556884766,ok,ok
mod_mult_55,mixed_pair,selected-beam-shared-parity-w4,4,,results/alphaq_objective_beam_policy_external_validation_article_extended/mod_mult_55/mixed_pair/selected-beam-shared-parity-w4/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/mod_mult_55/mixed_pair/selected-beam-shared-parity-w4,18.0,3.0,252.0,64.0,0.5959595959595959,4.2,inconclusive,"Inconclusive (took 0.035s)
Reduced form:
Σ[y₀⋯y₃](-1)^{y₀y₁ + y₀y₂ + y₀y₂1 + y₀y₃ + y₀0 + y₀01 + y₀1 + y₀12 + y₀8 + y₁ + y₁y₂1 + y₁y₃ + y₁01 + y₁1 + y₁12 + y₁2 + y₁8 + y₂ + y₂2 + 0 + 02}|y₀ + y₁ + y₂ + 2⟩|1⟩|2⟩|y₀12 + y₀2 + y₁12 + y₁2 + y₂12 + y₂2 + 012 + 02 + 12 + 2 + 3⟩|4⟩|y₀ + y₀12 + y₀2 + y₁ + y₁12 + y₁2 + y₂ + y₂12 + y₂2 + 0 + 012 + 02 + 12 + 5⟩|y₀2 + y₁2 + y₂2 + 02 + 2 + 6⟩|y₀1 + y₁1 + y₂1 + 01 + 12 + 7⟩|y₃⟩",results/verification/alphaq_external_article_extended/proofs/mod_mult_55/mixed_pair/selected-beam-shared-parity-w4.verify.txt,0.05419611930847168,ok,ok
