target,objective_variant,materializer,beam_width,candidate_kind,summary_path,candidate_dir,tcount,tdepth,qasm_depth,num_total_cnots,primary_nc_depth_ratio,qasm_depth_ratio,verification_status,verification_error,proof_path,runtime_sec,original_normalization_status,candidate_normalization_status
barenco_tof_4,factor_count,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_night_long/barenco_tof_4/factor_count/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_night_long/barenco_tof_4/factor_count/selected-beam-shared-parity-w32,64.0,7.0,298.0,162.0,,3.01010101010101,equal,,results/verification/alphaq_external_night_long/proofs/barenco_tof_4/factor_count/selected-beam-shared-parity-w32.verify.txt,0.11492776870727539,ok,ok
barenco_tof_4,mixed_pair,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_night_long/barenco_tof_4/mixed_pair/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_night_long/barenco_tof_4/mixed_pair/selected-beam-shared-parity-w16,42.0,6.0,266.0,118.0,,2.686868686868687,equal,,results/verification/alphaq_external_night_long/proofs/barenco_tof_4/mixed_pair/selected-beam-shared-parity-w16.verify.txt,0.05086493492126465,ok,ok
nc_tof_4,factor_count,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_night_long/nc_tof_4/factor_count/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_night_long/nc_tof_4/factor_count/selected-beam-shared-parity-w16,24.0,3.0,243.0,92.0,,3.9193548387096775,inconclusive,"Inconclusive (took 0.019s)
Reduced form:
(-1)^{01 + 012 + 2 + 24 + 3 + 4 + 5}|0⟩|1⟩|2⟩|3⟩|4⟩|1 + 5⟩|3 + 6⟩",results/verification/alphaq_external_night_long/proofs/nc_tof_4/factor_count/selected-beam-shared-parity-w16.verify.txt,0.04823899269104004,ok,ok
nc_tof_4,factor_count_pair_cap,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_night_long/nc_tof_4/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_night_long/nc_tof_4/factor_count_pair_cap/selected-beam-shared-parity-w16,32.0,6.0,248.0,118.0,,4.0,inconclusive,"Inconclusive (took 0.016s)
Reduced form:
(-1)^{01 + 012 + 2 + 24 + 3 + 4 + 5}|0⟩|1⟩|2⟩|3⟩|4⟩|1 + 5⟩|3 + 6⟩",results/verification/alphaq_external_night_long/proofs/nc_tof_4/factor_count_pair_cap/selected-beam-shared-parity-w16.verify.txt,0.038658857345581055,ok,ok
nc_tof_4,mixed_pair,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_night_long/nc_tof_4/mixed_pair/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_night_long/nc_tof_4/mixed_pair/selected-beam-shared-parity-w16,32.0,5.0,247.0,98.0,,3.9838709677419355,inconclusive,"Inconclusive (took 0.019s)
Reduced form:
Σ[y₀⋯y₅](-1)^{y₀ + y₀y₁23 + y₀y₂123 + y₀y₃23 + y₀y₄ + y₀y₅123 + y₀0123 + y₀23 + y₀234 + y₀3 + y₀6 + y₁y₂ + y₁y₂123 + y₁y₃23 + y₁y₄ + y₁y₅ + y₁y₅123 + y₁0 + y₁0123 + y₁234 + y₁6 + y₂12 + y₂3 + y₃ + y₃y₅ + y₃3 + y₅12 + y₅3 + y₅4 + 01 + 03 + 12 + 123 + 2 + 24 + 3 + 34 + 5}|1 + y₀23 + y₁23 + y₂ + y₅ + 3⟩|1⟩|2⟩|3⟩|y₃⟩|1 + 5⟩|1 + y₄⟩",results/verification/alphaq_external_night_long/proofs/nc_tof_4/mixed_pair/selected-beam-shared-parity-w16.verify.txt,0.048523902893066406,ok,ok
vbe_adder_3,factor_count,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_night_long/vbe_adder_3/factor_count/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_night_long/vbe_adder_3/factor_count/selected-beam-shared-parity-w32,65.0,9.0,296.0,216.0,,3.051546391752577,inconclusive,"Inconclusive (took 0.123s)
Reduced form:
(-1)^{014 + 015 + 024 + 025 + 124 + 125 + 34 + 35 + 4 + 45 + 6}|0⟩|1⟩|2⟩|3⟩|4⟩|5⟩|1 + 6⟩|7⟩|1 + 8⟩|1 + 014 + 015 + 024 + 025 + 124 + 125 + 34 + 35 + 45 + 6 + 8 + 9⟩",results/verification/alphaq_external_night_long/proofs/vbe_adder_3/factor_count/selected-beam-shared-parity-w32.verify.txt,0.15049099922180176,ok,ok
vbe_adder_3,factor_count_pair_cap,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_night_long/vbe_adder_3/factor_count_pair_cap/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_night_long/vbe_adder_3/factor_count_pair_cap/selected-beam-shared-parity-w32,66.0,8.0,311.0,254.0,,3.2061855670103094,inconclusive,"Inconclusive (took 0.144s)
Reduced form:
(-1)^{014 + 015 + 024 + 025 + 124 + 125 + 34 + 35 + 4 + 45 + 6}|0⟩|1⟩|2⟩|3⟩|4⟩|5⟩|1 + 6⟩|7⟩|1 + 8⟩|1 + 014 + 015 + 024 + 025 + 124 + 125 + 34 + 35 + 45 + 6 + 8 + 9⟩",results/verification/alphaq_external_night_long/proofs/vbe_adder_3/factor_count_pair_cap/selected-beam-shared-parity-w32.verify.txt,0.17982196807861328,ok,ok
vbe_adder_3,mixed_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_night_long/vbe_adder_3/mixed_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_night_long/vbe_adder_3/mixed_pair/selected-beam-shared-parity-w32,88.0,9.0,318.0,308.0,,3.2783505154639174,inconclusive,"Inconclusive (took 0.183s)
Reduced form:
(-1)^{014 + 015 + 024 + 025 + 124 + 125 + 34 + 35 + 4 + 45 + 6}|0⟩|1⟩|2⟩|3⟩|4⟩|5⟩|1 + 6⟩|7⟩|1 + 8⟩|1 + 014 + 015 + 024 + 025 + 124 + 125 + 34 + 35 + 45 + 6 + 8 + 9⟩",results/verification/alphaq_external_night_long/proofs/vbe_adder_3/mixed_pair/selected-beam-shared-parity-w32.verify.txt,0.22175216674804688,ok,ok
