target,objective_variant,materializer,beam_width,candidate_kind,summary_path,candidate_dir,tcount,tdepth,qasm_depth,num_total_cnots,primary_nc_depth_ratio,qasm_depth_ratio,verification_status,verification_error,proof_path,runtime_sec,original_normalization_status,candidate_normalization_status
hamming_weight_n5,frontier_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n5/frontier_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n5/frontier_pair/selected-beam-shared-parity-w32,19.0,4.0,179.0,46.0,0.7804878048780488,4.7105263157894735,equal,,results/verification/alphaq_external_article_core/proofs/hamming_weight_n5/frontier_pair/selected-beam-shared-parity-w32.verify.txt,0.022017955780029297,ok,ok
hamming_weight_n5,mixed_pair,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n5/mixed_pair/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n5/mixed_pair/selected-beam-shared-parity-w16,20.0,3.0,180.0,60.0,0.8292682926829268,4.7368421052631575,equal,,results/verification/alphaq_external_article_core/proofs/hamming_weight_n5/mixed_pair/selected-beam-shared-parity-w16.verify.txt,0.022942066192626953,ok,ok
mod_5_4,factor_count,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_core/mod_5_4/factor_count/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/mod_5_4/factor_count/selected-beam-shared-parity-w16,7.0,3.0,37.0,14.0,0.1864406779661017,0.6271186440677966,equal,,results/verification/alphaq_external_article_core/proofs/mod_5_4/factor_count/selected-beam-shared-parity-w16.verify.txt,0.02224588394165039,ok,ok
mod_5_4,factor_count_pair_cap,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_core/mod_5_4/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/mod_5_4/factor_count_pair_cap/selected-beam-shared-parity-w16,7.0,3.0,37.0,14.0,0.1864406779661017,0.6271186440677966,equal,,results/verification/alphaq_external_article_core/proofs/mod_5_4/factor_count_pair_cap/selected-beam-shared-parity-w16.verify.txt,0.025349140167236328,ok,ok
mod_5_4,frontier_pair,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_core/mod_5_4/frontier_pair/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/mod_5_4/frontier_pair/selected-beam-shared-parity-w16,7.0,3.0,37.0,14.0,0.1864406779661017,0.6271186440677966,equal,,results/verification/alphaq_external_article_core/proofs/mod_5_4/frontier_pair/selected-beam-shared-parity-w16.verify.txt,0.022169828414916992,ok,ok
mod_5_4,mixed_pair,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_core/mod_5_4/mixed_pair/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/mod_5_4/mixed_pair/selected-beam-shared-parity-w16,7.0,3.0,37.0,14.0,0.1864406779661017,0.6271186440677966,equal,,results/verification/alphaq_external_article_core/proofs/mod_5_4/mixed_pair/selected-beam-shared-parity-w16.verify.txt,0.026514053344726562,ok,ok
nc_tof_4,factor_count,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_core/nc_tof_4/factor_count/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/nc_tof_4/factor_count/selected-beam-shared-parity-w32,37.0,8.0,252.0,112.0,1.3125,4.064516129032258,equal,,results/verification/alphaq_external_article_core/proofs/nc_tof_4/factor_count/selected-beam-shared-parity-w32.verify.txt,0.0423581600189209,ok,ok
nc_tof_4,factor_count_pair_cap,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_core/nc_tof_4/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/nc_tof_4/factor_count_pair_cap/selected-beam-shared-parity-w16,32.0,6.0,248.0,118.0,1.25,4.0,equal,,results/verification/alphaq_external_article_core/proofs/nc_tof_4/factor_count_pair_cap/selected-beam-shared-parity-w16.verify.txt,0.03989076614379883,ok,ok
nc_tof_4,frontier_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_core/nc_tof_4/frontier_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/nc_tof_4/frontier_pair/selected-beam-shared-parity-w32,32.0,5.0,245.0,96.0,1.03125,3.9516129032258065,equal,,results/verification/alphaq_external_article_core/proofs/nc_tof_4/frontier_pair/selected-beam-shared-parity-w32.verify.txt,0.0374910831451416,ok,ok
nc_tof_4,mixed_pair,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_core/nc_tof_4/mixed_pair/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/nc_tof_4/mixed_pair/selected-beam-shared-parity-w16,42.0,6.0,255.0,138.0,1.46875,4.112903225806452,inconclusive,"Inconclusive (took 0.022s)
Reduced form:
Σ[y₀⋯y₅](-1)^{y₀ + y₀y₁23 + y₀y₂123 + y₀y₃23 + y₀y₄ + y₀y₅123 + y₀0123 + y₀234 + y₀6 + y₁ + y₁y₂ + y₁y₂123 + y₁y₃23 + y₁y₄ + y₁y₅ + y₁y₅123 + y₁0 + y₁0123 + y₁2 + y₁234 + y₁3 + y₁6 + y₂1 + y₂123 + y₃y₅ + y₃2 + y₃23 + y₃3 + y₄3 + y₅1 + y₅123 + y₅4 + 01 + 0123 + 12 + 13 + 234 + 24 + 3 + 34 + 36}|y₀23 + y₁23 + y₂ + y₅ + 2 + 23 + 3⟩|1⟩|2⟩|3⟩|y₃⟩|5⟩|1 + y₄⟩",results/verification/alphaq_external_article_core/proofs/nc_tof_4/mixed_pair/selected-beam-shared-parity-w16.verify.txt,0.04034900665283203,ok,ok
vbe_adder_3,factor_count,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_core/vbe_adder_3/factor_count/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/vbe_adder_3/factor_count/selected-beam-shared-parity-w32,65.0,9.0,296.0,216.0,1.29,3.051546391752577,equal,,results/verification/alphaq_external_article_core/proofs/vbe_adder_3/factor_count/selected-beam-shared-parity-w32.verify.txt,0.12569785118103027,ok,ok
vbe_adder_3,factor_count_pair_cap,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_core/vbe_adder_3/factor_count_pair_cap/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/vbe_adder_3/factor_count_pair_cap/selected-beam-shared-parity-w32,107.0,11.0,329.0,344.0,2.08,3.3917525773195876,equal,,results/verification/alphaq_external_article_core/proofs/vbe_adder_3/factor_count_pair_cap/selected-beam-shared-parity-w32.verify.txt,0.19943499565124512,ok,ok
vbe_adder_3,frontier_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_core/vbe_adder_3/frontier_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/vbe_adder_3/frontier_pair/selected-beam-shared-parity-w32,79.0,7.0,311.0,302.0,1.63,3.2061855670103094,equal,,results/verification/alphaq_external_article_core/proofs/vbe_adder_3/frontier_pair/selected-beam-shared-parity-w32.verify.txt,0.15094399452209473,ok,ok
