circuit_id,method,status,selection_objective,selection_status,selection_error,structural_cost,alphaq_target_status,alphaq_target_error,alphaq_nc_core_area_ratio,alphaq_nc_core_area_delta_vs_original,alphaq_nc_core_depth_ratio,alphaq_nc_core_width_ratio,alphaq_total_depth_ratio,alphaq_total_area_ratio,alphaq_border_status,alphaq_border_error,alphaq_total_depth,alphaq_total_width,alphaq_total_area,alphaq_nc_core_depth,alphaq_nc_core_width,alphaq_nc_core_area,alphaq_core_tcount,alphaq_crossing_closure_count,alphaq_left_nc_core_depth,alphaq_left_nc_core_width,alphaq_left_nc_core_area,alphaq_left_crossing_closure_count,alphaq_right_nc_core_depth,alphaq_right_nc_core_width,alphaq_right_nc_core_area,alphaq_right_crossing_closure_count,alphaq_prefix_clifford_depth,alphaq_suffix_clifford_depth,alphaq_clifford_shaved_depth_fraction,primary_nc_depth_ratio,zx_total_depth_ratio,qasm_depth_ratio,tcount_ratio,tcount_after_selection,tdepth_after_selection,combo_index,assembled_qasm_path,error
cuccaro_adder_n3,public_resynth_structural,ok,structural,ok,,0.5205479452054794,ok,,0.5205479452054794,-0.3835616438356164,0.5205479452054794,1.0,3.315068493150685,3.7886497064579254,ok,,242,8,1936,38,7,266,14,26,214,8,1712,201,66,8,528,45,28,176,0.8429752066115702,0.9090909090909091,3.324675324675325,3.315068493150685,0.3333333333333333,14,4,0,results/tmp_alphaq_border_full/public_resynth_structural/cuccaro_adder_n3/assembled.qasm,
gf_2pow2_mult,public_resynth_structural,ok,structural,ok,,1.2619047619047619,ok,,1.2619047619047619,0.33333333333333326,1.2619047619047619,1.0,3.5,3.5,ok,,147,6,882,53,6,318,21,33,132,6,792,110,68,6,408,44,15,79,0.6394557823129252,1.7272727272727273,4.045454545454546,3.5,0.75,21,6,11,results/tmp_alphaq_border_full/public_resynth_structural/gf_2pow2_mult/assembled.qasm,
mod_5_4,public_resynth_structural,ok,structural,ok,,0.08135593220338982,ok,,0.08135593220338982,-0.7661016949152541,0.13559322033898305,0.6,1.0,1.0,ok,,59,5,295,8,3,24,7,4,48,5,240,46,19,5,95,15,11,40,0.864406779661017,0.3728813559322034,1.2203389830508475,1.0,0.25,7,4,1,results/tmp_alphaq_border_full/public_resynth_structural/mod_5_4/assembled.qasm,
qft_4,public_resynth_structural,ok,structural,ok,,6.419736842105263,ok,,6.419736842105263,5.432894736842106,0.7828947368421053,8.2,3.388157894736842,29.138157894736842,ok,,515,43,22145,119,41,4879,67,110,504,43,21672,580,130,42,5460,117,12,386,0.7728155339805826,1.2378048780487805,4.304878048780488,3.388157894736842,0.9710144927536232,67,21,14,results/tmp_alphaq_border_full/public_resynth_structural/qft_4/assembled.qasm,
vbe_adder_3,public_resynth_structural,ok,structural,ok,,1.1835051546391753,ok,,1.1835051546391753,0.2556701030927835,0.845360824742268,1.4,3.329896907216495,4.661855670103093,ok,,323,14,4522,82,14,1148,21,80,304,14,4256,333,101,14,1414,110,19,222,0.7461300309597523,1.37,3.86,3.329896907216495,0.3,21,7,9,results/tmp_alphaq_border_full/public_resynth_structural/vbe_adder_3/assembled.qasm,
