circuit_id,candidate_id,combo_index,tensor_v3_selected,status,source_methods,decomposition_keys,candidate_indices,num_blocks,block_tcount_sum,block_tdepth_sum,tcount_after,tdepth_after,depth_after,gate_count_after,candidate_qasm_path,tensor_v3_selection_status,tensor_v3_selection_error,tensor_v3_ranking_strategy,tensor_v3_status,tensor_v3_error,tensor_v3_partition_id,tensor_v3_partition_kind,tensor_v3_tcount_tolerance,tensor_v3_target_mixed_weight,tensor_v3_gadget_mixed_weight,tensor_v3_gadget_mixed_weight_norm,tensor_v3_mixed_excess_norm,tensor_v3_mixed_auc_original,tensor_v3_mixed_auc_original_norm,tensor_v3_mixed_auc_greedy,tensor_v3_mixed_auc_greedy_norm,tensor_v3_singleton_bridge_count,tensor_v3_singleton_bridge_count_norm,tensor_v3_mixed_group_count,tensor_v3_mixed_group_count_norm,tensor_v3_num_factor_groups,tensor_v3_factor_count,tensor_v3_score_lex,tensor_v3_stable_factor_hash,tensor_v3_partition_metrics_json
hamming_weight_n4,hamming_weight_n4:combo0,0,1,ok,public_resynth_gadgets,hamming_weight_n4,0,1,21,6,21,6,221,309,results/public_resynth_tensor_v3/public_resynth_tensor_v3/hamming_weight_n4/structural_combinations/combo0/assembled.qasm,ok,,lex-v1,ok,,semantic_role_k2,semantic-role,0.1,90.0,90.0,1.0,0.0,132.0,0.36666666666666664,132.0,0.36666666666666664,0.0,0.0,3.0,1.0,3.0,21.0,0;0.366666666667;0;f1491490d6284225,f1491490d6284225,"[{""factor_count"":21.0,""gadget_mixed_weight"":90.0,""gadget_mixed_weight_norm"":1.0,""mixed_auc_greedy"":132.0,""mixed_auc_greedy_norm"":0.36666666666666664,""mixed_auc_original"":132.0,""mixed_auc_original_norm"":0.36666666666666664,""mixed_excess_norm"":0.0,""mixed_group_count"":3.0,""mixed_group_count_norm"":1.0,""num_block_rows"":1,""num_factor_groups"":3.0,""partition_id"":""balanced_contiguous_k2"",""partition_kind"":""contiguous"",""score_v3_lex"":""0;0.366666666667;0;f1491490d6284225"",""singleton_bridge_count"":0.0,""singleton_bridge_count_norm"":0.0,""stable_factor_hash"":""f1491490d6284225"",""target_mixed_weight"":90.0},{""factor_count"":21.0,""gadget_mixed_weight"":90.0,""gadget_mixed_weight_norm"":1.0,""mixed_auc_greedy"":132.0,""mixed_auc_greedy_norm"":0.36666666666666664,""mixed_auc_original"":132.0,""mixed_auc_original_norm"":0.36666666666666664,""mixed_excess_norm"":0.0,""mixed_group_count"":3.0,""mixed_group_count_norm"":1.0,""num_block_rows"":1,""num_factor_groups"":3.0,""partition_id"":""semantic_family_k2"",""partition_kind"":""semantic-family"",""score_v3_lex"":""0;0.366666666667;0;f1491490d6284225"",""singleton_bridge_count"":0.0,""singleton_bridge_count_norm"":0.0,""stable_factor_hash"":""f1491490d6284225"",""target_mixed_weight"":90.0},{""factor_count"":21.0,""gadget_mixed_weight"":90.0,""gadget_mixed_weight_norm"":1.0,""mixed_auc_greedy"":132.0,""mixed_auc_greedy_norm"":0.36666666666666664,""mixed_auc_original"":132.0,""mixed_auc_original_norm"":0.36666666666666664,""mixed_excess_norm"":0.0,""mixed_group_count"":3.0,""mixed_group_count_norm"":1.0,""num_block_rows"":1,""num_factor_groups"":3.0,""partition_id"":""semantic_role_k2"",""partition_kind"":""semantic-role"",""score_v3_lex"":""0;0.366666666667;0;f1491490d6284225"",""singleton_bridge_count"":0.0,""singleton_bridge_count_norm"":0.0,""stable_factor_hash"":""f1491490d6284225"",""target_mixed_weight"":90.0},{""factor_count"":21.0,""gadget_mixed_weight"":102.0,""gadget_mixed_weight_norm"":1.0,""mixed_auc_greedy"":132.0,""mixed_auc_greedy_norm"":0.3235294117647059,""mixed_auc_original"":132.0,""mixed_auc_original_norm"":0.3235294117647059,""mixed_excess_norm"":0.0,""mixed_group_count"":3.0,""mixed_group_count_norm"":1.0,""num_block_rows"":1,""num_factor_groups"":3.0,""partition_id"":""tensor_graph_spectral_k2"",""partition_kind"":""tensor-graph"",""score_v3_lex"":""0;0.323529411765;0;f1491490d6284225"",""singleton_bridge_count"":0.0,""singleton_bridge_count_norm"":0.0,""stable_factor_hash"":""f1491490d6284225"",""target_mixed_weight"":102.0}]"
hamming_weight_n5,hamming_weight_n5:combo0,0,1,ok,public_resynth_gadgets,hamming_weight_n5,0,1,21,4,21,4,224,327,results/public_resynth_tensor_v3/public_resynth_tensor_v3/hamming_weight_n5/structural_combinations/combo0/assembled.qasm,ok,,lex-v1,ok,,semantic_role_k2,semantic-role,0.1,126.0,126.0,1.0,0.0,192.0,0.38095238095238093,192.0,0.38095238095238093,0.0,0.0,3.0,1.0,3.0,21.0,0;0.380952380952;0;678eaefa9e20b5b2,678eaefa9e20b5b2,"[{""factor_count"":21.0,""gadget_mixed_weight"":126.0,""gadget_mixed_weight_norm"":1.0,""mixed_auc_greedy"":192.0,""mixed_auc_greedy_norm"":0.38095238095238093,""mixed_auc_original"":192.0,""mixed_auc_original_norm"":0.38095238095238093,""mixed_excess_norm"":0.0,""mixed_group_count"":3.0,""mixed_group_count_norm"":1.0,""num_block_rows"":1,""num_factor_groups"":3.0,""partition_id"":""balanced_contiguous_k2"",""partition_kind"":""contiguous"",""score_v3_lex"":""0;0.380952380952;0;678eaefa9e20b5b2"",""singleton_bridge_count"":0.0,""singleton_bridge_count_norm"":0.0,""stable_factor_hash"":""678eaefa9e20b5b2"",""target_mixed_weight"":126.0},{""factor_count"":21.0,""gadget_mixed_weight"":126.0,""gadget_mixed_weight_norm"":1.0,""mixed_auc_greedy"":192.0,""mixed_auc_greedy_norm"":0.38095238095238093,""mixed_auc_original"":192.0,""mixed_auc_original_norm"":0.38095238095238093,""mixed_excess_norm"":0.0,""mixed_group_count"":3.0,""mixed_group_count_norm"":1.0,""num_block_rows"":1,""num_factor_groups"":3.0,""partition_id"":""semantic_family_k2"",""partition_kind"":""semantic-family"",""score_v3_lex"":""0;0.380952380952;0;678eaefa9e20b5b2"",""singleton_bridge_count"":0.0,""singleton_bridge_count_norm"":0.0,""stable_factor_hash"":""678eaefa9e20b5b2"",""target_mixed_weight"":126.0},{""factor_count"":21.0,""gadget_mixed_weight"":126.0,""gadget_mixed_weight_norm"":1.0,""mixed_auc_greedy"":192.0,""mixed_auc_greedy_norm"":0.38095238095238093,""mixed_auc_original"":192.0,""mixed_auc_original_norm"":0.38095238095238093,""mixed_excess_norm"":0.0,""mixed_group_count"":3.0,""mixed_group_count_norm"":1.0,""num_block_rows"":1,""num_factor_groups"":3.0,""partition_id"":""semantic_role_k2"",""partition_kind"":""semantic-role"",""score_v3_lex"":""0;0.380952380952;0;678eaefa9e20b5b2"",""singleton_bridge_count"":0.0,""singleton_bridge_count_norm"":0.0,""stable_factor_hash"":""678eaefa9e20b5b2"",""target_mixed_weight"":126.0},{""factor_count"":21.0,""gadget_mixed_weight"":138.0,""gadget_mixed_weight_norm"":1.0,""mixed_auc_greedy"":192.0,""mixed_auc_greedy_norm"":0.34782608695652173,""mixed_auc_original"":192.0,""mixed_auc_original_norm"":0.34782608695652173,""mixed_excess_norm"":0.0,""mixed_group_count"":3.0,""mixed_group_count_norm"":1.0,""num_block_rows"":1,""num_factor_groups"":3.0,""partition_id"":""tensor_graph_spectral_k2"",""partition_kind"":""tensor-graph"",""score_v3_lex"":""0;0.347826086957;0;678eaefa9e20b5b2"",""singleton_bridge_count"":0.0,""singleton_bridge_count_norm"":0.0,""stable_factor_hash"":""678eaefa9e20b5b2"",""target_mixed_weight"":138.0}]"
gf_2pow2_mult,gf_2pow2_mult:combo7,7,1,ok,public_resynth_no_gadgets,gf_2pow2_mult_comp2,7,1,17,12,17,12,145,195,results/public_resynth_tensor_v3/public_resynth_tensor_v3/gf_2pow2_mult/structural_combinations/combo7/assembled.qasm,ok,,lex-v1,ok,,semantic_role_k2,semantic-role,0.1,66.0,270.0,4.090909090909091,3.090909090909091,636.0,0.6022727272727273,252.0,0.23863636363636365,6.0,0.35294117647058826,7.0,0.4666666666666667,15.0,17.0,3.09090909091;0.238636363636;0.352941176471;3767bd4f612e7224,3767bd4f612e7224,"[{""factor_count"":17.0,""gadget_mixed_weight"":300.0,""gadget_mixed_weight_norm"":5.0,""mixed_auc_greedy"":762.0,""mixed_auc_greedy_norm"":0.79375,""mixed_auc_original"":762.0,""mixed_auc_original_norm"":0.79375,""mixed_excess_norm"":4.0,""mixed_group_count"":9.0,""mixed_group_count_norm"":0.6,""num_block_rows"":1,""num_factor_groups"":15.0,""partition_id"":""balanced_contiguous_k2"",""partition_kind"":""contiguous"",""score_v3_lex"":""4;0.79375;0.470588235294;3767bd4f612e7224"",""singleton_bridge_count"":8.0,""singleton_bridge_count_norm"":0.47058823529411764,""stable_factor_hash"":""3767bd4f612e7224"",""target_mixed_weight"":60.0},{""factor_count"":17.0,""gadget_mixed_weight"":270.0,""gadget_mixed_weight_norm"":4.090909090909091,""mixed_auc_greedy"":252.0,""mixed_auc_greedy_norm"":0.23863636363636365,""mixed_auc_original"":636.0,""mixed_auc_original_norm"":0.6022727272727273,""mixed_excess_norm"":3.090909090909091,""mixed_group_count"":7.0,""mixed_group_count_norm"":0.4666666666666667,""num_block_rows"":1,""num_factor_groups"":15.0,""partition_id"":""semantic_family_k2"",""partition_kind"":""semantic-family"",""score_v3_lex"":""3.09090909091;0.238636363636;0.352941176471;3767bd4f612e7224"",""singleton_bridge_count"":6.0,""singleton_bridge_count_norm"":0.35294117647058826,""stable_factor_hash"":""3767bd4f612e7224"",""target_mixed_weight"":66.0},{""factor_count"":17.0,""gadget_mixed_weight"":270.0,""gadget_mixed_weight_norm"":4.090909090909091,""mixed_auc_greedy"":252.0,""mixed_auc_greedy_norm"":0.23863636363636365,""mixed_auc_original"":636.0,""mixed_auc_original_norm"":0.6022727272727273,""mixed_excess_norm"":3.090909090909091,""mixed_group_count"":7.0,""mixed_group_count_norm"":0.4666666666666667,""num_block_rows"":1,""num_factor_groups"":15.0,""partition_id"":""semantic_register_k2"",""partition_kind"":""semantic-register"",""score_v3_lex"":""3.09090909091;0.238636363636;0.352941176471;3767bd4f612e7224"",""singleton_bridge_count"":6.0,""singleton_bridge_count_norm"":0.35294117647058826,""stable_factor_hash"":""3767bd4f612e7224"",""target_mixed_weight"":66.0},{""factor_count"":17.0,""gadget_mixed_weight"":270.0,""gadget_mixed_weight_norm"":4.090909090909091,""mixed_auc_greedy"":252.0,""mixed_auc_greedy_norm"":0.23863636363636365,""mixed_auc_original"":636.0,""mixed_auc_original_norm"":0.6022727272727273,""mixed_excess_norm"":3.090909090909091,""mixed_group_count"":7.0,""mixed_group_count_norm"":0.4666666666666667,""num_block_rows"":1,""num_factor_groups"":15.0,""partition_id"":""semantic_role_k2"",""partition_kind"":""semantic-role"",""score_v3_lex"":""3.09090909091;0.238636363636;0.352941176471;3767bd4f612e7224"",""singleton_bridge_count"":6.0,""singleton_bridge_count_norm"":0.35294117647058826,""stable_factor_hash"":""3767bd4f612e7224"",""target_mixed_weight"":66.0},{""factor_count"":17.0,""gadget_mixed_weight"":324.0,""gadget_mixed_weight_norm"":5.4,""mixed_auc_greedy"":840.0,""mixed_auc_greedy_norm"":0.875,""mixed_auc_original"":738.0,""mixed_auc_original_norm"":0.76875,""mixed_excess_norm"":4.4,""mixed_group_count"":10.0,""mixed_group_count_norm"":0.6666666666666666,""num_block_rows"":1,""num_factor_groups"":15.0,""partition_id"":""tensor_graph_spectral_k2"",""partition_kind"":""tensor-graph"",""score_v3_lex"":""4.4;0.875;0.529411764706;3767bd4f612e7224"",""singleton_bridge_count"":9.0,""singleton_bridge_count_norm"":0.5294117647058824,""stable_factor_hash"":""3767bd4f612e7224"",""target_mixed_weight"":60.0}]"
mod_5_4,mod_5_4:combo1,1,1,ok,public_resynth_gadgets,mod_5_4,0,1,7,4,7,4,59,83,results/public_resynth_tensor_v3/public_resynth_tensor_v3/mod_5_4/structural_combinations/combo1/assembled.qasm,ok,,lex-v1,ok,,semantic_role_k2,semantic-role,0.1,30.0,30.0,1.0,0.0,30.0,0.5,30.0,0.5,0.0,0.0,1.0,1.0,1.0,7.0,0;0.5;0;35f8ef5e37c56c46,35f8ef5e37c56c46,"[{""factor_count"":7.0,""gadget_mixed_weight"":30.0,""gadget_mixed_weight_norm"":1.0,""mixed_auc_greedy"":30.0,""mixed_auc_greedy_norm"":0.5,""mixed_auc_original"":30.0,""mixed_auc_original_norm"":0.5,""mixed_excess_norm"":0.0,""mixed_group_count"":1.0,""mixed_group_count_norm"":1.0,""num_block_rows"":1,""num_factor_groups"":1.0,""partition_id"":""balanced_contiguous_k2"",""partition_kind"":""contiguous"",""score_v3_lex"":""0;0.5;0;35f8ef5e37c56c46"",""singleton_bridge_count"":0.0,""singleton_bridge_count_norm"":0.0,""stable_factor_hash"":""35f8ef5e37c56c46"",""target_mixed_weight"":30.0},{""factor_count"":7.0,""gadget_mixed_weight"":30.0,""gadget_mixed_weight_norm"":1.0,""mixed_auc_greedy"":30.0,""mixed_auc_greedy_norm"":0.5,""mixed_auc_original"":30.0,""mixed_auc_original_norm"":0.5,""mixed_excess_norm"":0.0,""mixed_group_count"":1.0,""mixed_group_count_norm"":1.0,""num_block_rows"":1,""num_factor_groups"":1.0,""partition_id"":""semantic_family_k2"",""partition_kind"":""semantic-family"",""score_v3_lex"":""0;0.5;0;35f8ef5e37c56c46"",""singleton_bridge_count"":0.0,""singleton_bridge_count_norm"":0.0,""stable_factor_hash"":""35f8ef5e37c56c46"",""target_mixed_weight"":30.0},{""factor_count"":7.0,""gadget_mixed_weight"":30.0,""gadget_mixed_weight_norm"":1.0,""mixed_auc_greedy"":30.0,""mixed_auc_greedy_norm"":0.5,""mixed_auc_original"":30.0,""mixed_auc_original_norm"":0.5,""mixed_excess_norm"":0.0,""mixed_group_count"":1.0,""mixed_group_count_norm"":1.0,""num_block_rows"":1,""num_factor_groups"":1.0,""partition_id"":""semantic_role_k2"",""partition_kind"":""semantic-role"",""score_v3_lex"":""0;0.5;0;35f8ef5e37c56c46"",""singleton_bridge_count"":0.0,""singleton_bridge_count_norm"":0.0,""stable_factor_hash"":""35f8ef5e37c56c46"",""target_mixed_weight"":30.0},{""factor_count"":7.0,""gadget_mixed_weight"":24.0,""gadget_mixed_weight_norm"":1.0,""mixed_auc_greedy"":24.0,""mixed_auc_greedy_norm"":0.5,""mixed_auc_original"":24.0,""mixed_auc_original_norm"":0.5,""mixed_excess_norm"":0.0,""mixed_group_count"":1.0,""mixed_group_count_norm"":1.0,""num_block_rows"":1,""num_factor_groups"":1.0,""partition_id"":""tensor_graph_spectral_k2"",""partition_kind"":""tensor-graph"",""score_v3_lex"":""0;0.5;0;35f8ef5e37c56c46"",""singleton_bridge_count"":0.0,""singleton_bridge_count_norm"":0.0,""stable_factor_hash"":""35f8ef5e37c56c46"",""target_mixed_weight"":24.0}]"
qft_4,qft_4:combo2,2,1,ok,public_resynth_no_gadgets,qft_4,2,1,53,25,53,25,541,892,results/public_resynth_tensor_v3/public_resynth_tensor_v3/qft_4/structural_combinations/combo2/assembled.qasm,ok,,lex-v1,ok,,semantic_role_k2,semantic-role,0.1,210.0,858.0,4.085714285714285,3.085714285714286,6060.0,0.554945054945055,4716.0,0.4318681318681319,33.0,0.6226415094339622,34.0,0.6666666666666666,51.0,53.0,3.08571428571;0.431868131868;0.622641509434;c262c1bba409235b,c262c1bba409235b,"[{""factor_count"":53.0,""gadget_mixed_weight"":990.0,""gadget_mixed_weight_norm"":7.857142857142857,""mixed_auc_greedy"":2850.0,""mixed_auc_greedy_norm"":0.434981684981685,""mixed_auc_original"":4416.0,""mixed_auc_original_norm"":0.673992673992674,""mixed_excess_norm"":6.857142857142857,""mixed_group_count"":24.0,""mixed_group_count_norm"":0.47058823529411764,""num_block_rows"":1,""num_factor_groups"":51.0,""partition_id"":""balanced_contiguous_k2"",""partition_kind"":""contiguous"",""score_v3_lex"":""6.85714285714;0.434981684982;0.452830188679;c262c1bba409235b"",""singleton_bridge_count"":24.0,""singleton_bridge_count_norm"":0.4528301886792453,""stable_factor_hash"":""c262c1bba409235b"",""target_mixed_weight"":126.0},{""factor_count"":53.0,""gadget_mixed_weight"":378.0,""gadget_mixed_weight_norm"":9.0,""mixed_auc_greedy"":1338.0,""mixed_auc_greedy_norm"":0.6126373626373627,""mixed_auc_original"":1902.0,""mixed_auc_original_norm"":0.8708791208791209,""mixed_excess_norm"":8.0,""mixed_group_count"":7.0,""mixed_group_count_norm"":0.13725490196078433,""num_block_rows"":1,""num_factor_groups"":51.0,""partition_id"":""semantic_family_k2"",""partition_kind"":""semantic-family"",""score_v3_lex"":""8;0.612637362637;0.11320754717;c262c1bba409235b"",""singleton_bridge_count"":6.0,""singleton_bridge_count_norm"":0.11320754716981132,""stable_factor_hash"":""c262c1bba409235b"",""target_mixed_weight"":42.0},{""factor_count"":53.0,""gadget_mixed_weight"":858.0,""gadget_mixed_weight_norm"":4.085714285714285,""mixed_auc_greedy"":4716.0,""mixed_auc_greedy_norm"":0.4318681318681319,""mixed_auc_original"":6060.0,""mixed_auc_original_norm"":0.554945054945055,""mixed_excess_norm"":3.085714285714286,""mixed_group_count"":34.0,""mixed_group_count_norm"":0.6666666666666666,""num_block_rows"":1,""num_factor_groups"":51.0,""partition_id"":""semantic_role_k2"",""partition_kind"":""semantic-role"",""score_v3_lex"":""3.08571428571;0.431868131868;0.622641509434;c262c1bba409235b"",""singleton_bridge_count"":33.0,""singleton_bridge_count_norm"":0.6226415094339622,""stable_factor_hash"":""c262c1bba409235b"",""target_mixed_weight"":210.0},{""factor_count"":53.0,""gadget_mixed_weight"":390.0,""gadget_mixed_weight_norm"":4.333333333333333,""mixed_auc_greedy"":1278.0,""mixed_auc_greedy_norm"":0.27307692307692305,""mixed_auc_original"":1728.0,""mixed_auc_original_norm"":0.36923076923076925,""mixed_excess_norm"":3.3333333333333335,""mixed_group_count"":20.0,""mixed_group_count_norm"":0.39215686274509803,""num_block_rows"":1,""num_factor_groups"":51.0,""partition_id"":""tensor_graph_spectral_k2"",""partition_kind"":""tensor-graph"",""score_v3_lex"":""3.33333333333;0.273076923077;0.358490566038;c262c1bba409235b"",""singleton_bridge_count"":19.0,""singleton_bridge_count_norm"":0.3584905660377358,""stable_factor_hash"":""c262c1bba409235b"",""target_mixed_weight"":90.0}]"
