verification_root,target,objective_variant,materializer,tcount,qasm_depth,verification_status,verification_error,postselection_constant_abs,candidate_is_scaled_isometry,isometry_alpha,residual,runtime_sec,correction_side,correction_x_frame_weight,correction_parity_changes,correction_phase_degree,defect_signature
results/verification/alphaq_external_article_repair2_vbe,vbe_adder_3,factor_count,selected-beam-shared-parity-w32,65.0,296.0,nonclifford-correction,Candidate equals the original composed with a signed basis permutation whose phase polynomial has degree 3 (non-Clifford).,0.25,True,0.0625,3.39e-15,58.52,output,1,0,3,19b1a1d255ca
results/verification/alphaq_external_article_repair2_vbe,vbe_adder_3,factor_count_pair_cap,selected-beam-shared-parity-w32,51.0,277.0,nonclifford-correction,Candidate equals the original composed with a signed basis permutation whose phase polynomial has degree 3 (non-Clifford).,0.25,True,0.0625,3.36e-15,50.14,output,1,0,3,19b1a1d255ca
results/verification/alphaq_external_article_repair2_vbe,vbe_adder_3,frontier_pair,selected-beam-shared-parity-w16,51.0,285.0,nonclifford-correction,Candidate equals the original composed with a signed basis permutation whose phase polynomial has degree 3 (non-Clifford).,0.25,True,0.0625,3.39e-15,50.28,output,1,0,3,19b1a1d255ca
results/verification/alphaq_external_article_repair2_vbe,vbe_adder_3,mixed_pair,selected-beam-shared-parity-w32,77.0,317.0,nonclifford-correction,Candidate equals the original composed with a signed basis permutation whose phase polynomial has degree 3 (non-Clifford).,0.25,True,0.0625,3.39e-15,62.38,output,1,0,3,19b1a1d255ca
results/verification/alphaq_external_journal_full_nc_tof_5_long,nc_tof_5,factor_count,selected-beam-shared-parity-w32,103.0,581.0,nonclifford-correction,Candidate equals the original composed with a signed basis permutation whose phase polynomial has degree 3 (non-Clifford).,0.125,True,0.015625,1.33e-15,86.88,output,3,1,3,0b7bb41a615e
results/verification/alphaq_external_journal_full_nc_tof_5_long,nc_tof_5,frontier_pair,selected-beam-shared-parity-w32,103.0,581.0,nonclifford-correction,Candidate equals the original composed with a signed basis permutation whose phase polynomial has degree 3 (non-Clifford).,0.125,True,0.015625,1.33e-15,86.60,output,3,1,3,0b7bb41a615e
