family_file,method,family_label,circuit_id,num_blocks,best_effective_tcount,best_num_factors,best_n_toffoli_gadgets,best_n_cs_gadgets,best_n_t_remaining,all_tensor_equal,best_decomposition_keys,best_candidate_indices
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,mod_red_21,1,51,51,0,0,51,True,mod_red_21,0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,nc_tof_10,1,55,55,0,0,55,True,nc_toff_10,0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,nc_tof_3,1,13,13,0,0,13,True,nc_toff_3,0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,nc_tof_4,1,19,19,0,0,19,True,nc_toff_4,0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,nc_tof_5,1,25,25,0,0,25,True,nc_toff_5,0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,qcla_adder_10,2,135,135,0,0,135,True,qcla_adder_10_block1;qcla_adder_10_block2,0;0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,qcla_com_7,1,59,59,0,0,59,True,qcla_com_7,0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,qcla_mod_7,2,199,199,0,0,199,True,qcla_mod_7_block1;qcla_mod_7_block2,0;0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,qft_4,1,53,53,0,0,53,True,qft_4,0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,rc_adder_6,1,37,37,0,0,37,True,rc_adder_6,0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,vbe_adder_3,1,19,19,0,0,19,True,vbe_adder_3,0
binary_addition.npz,paper_gadgets,binary_addition,cuccaro_adder_n10,1,18,63,9,0,0,True,cuccaro_adder_n10,0
binary_addition.npz,paper_gadgets,binary_addition,cuccaro_adder_n3,1,4,14,2,0,0,True,cuccaro_adder_n3,0
binary_addition.npz,paper_gadgets,binary_addition,cuccaro_adder_n4,1,6,21,3,0,0,True,cuccaro_adder_n4,0
binary_addition.npz,paper_gadgets,binary_addition,cuccaro_adder_n5,1,8,28,4,0,0,True,cuccaro_adder_n5,0
binary_addition.npz,paper_gadgets,binary_addition,cuccaro_adder_n6,1,10,35,5,0,0,True,cuccaro_adder_n6,0
binary_addition.npz,paper_gadgets,binary_addition,cuccaro_adder_n7,1,12,42,6,0,0,True,cuccaro_adder_n7,0
binary_addition.npz,paper_gadgets,binary_addition,cuccaro_adder_n8,1,14,49,7,0,0,True,cuccaro_adder_n8,0
binary_addition.npz,paper_gadgets,binary_addition,cuccaro_adder_n9,1,16,56,8,0,0,True,cuccaro_adder_n9,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n10,1,16,56,8,0,0,True,hamming_weight_n10,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n11,1,16,56,8,0,0,True,hamming_weight_n11,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n12,1,20,70,10,0,0,True,hamming_weight_n12,0
