family_file,family_label,method,use_gadgets,decomposition_key,circuit_id,block_label,candidate_index,num_factors,tensor_size,n_toffoli_gadgets,n_cs_gadgets,n_t_remaining,effective_tcount,tensor_path,tensor_equal,tensor_mismatch_count,tensor_target_shape,tensor_reconstructed_shape,tensor_validation_error,npz_path
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,8_bit_adder_block2,8_bit_adder,block2,7,168,50,22,0,14,58,external/circuit-to-tensor/benchmarks/arithmetic/8_bit_adder/8_bit_adder_block2.tensor.npy,true,0,"(50, 50, 50)","(50, 50, 50)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,8_bit_adder_block2,8_bit_adder,block2,8,168,50,22,0,14,58,external/circuit-to-tensor/benchmarks/arithmetic/8_bit_adder/8_bit_adder_block2.tensor.npy,true,0,"(50, 50, 50)","(50, 50, 50)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,8_bit_adder_block2,8_bit_adder,block2,9,168,50,22,0,14,58,external/circuit-to-tensor/benchmarks/arithmetic/8_bit_adder/8_bit_adder_block2.tensor.npy,true,0,"(50, 50, 50)","(50, 50, 50)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_10,barenco_tof_10,,0,112,50,16,0,0,32,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_10/barenco_tof_10.tensor.npy,true,0,"(50, 50, 50)","(50, 50, 50)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_10,barenco_tof_10,,1,112,50,16,0,0,32,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_10/barenco_tof_10.tensor.npy,true,0,"(50, 50, 50)","(50, 50, 50)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_10,barenco_tof_10,,2,112,50,16,0,0,32,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_10/barenco_tof_10.tensor.npy,true,0,"(50, 50, 50)","(50, 50, 50)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_10,barenco_tof_10,,3,112,50,16,0,0,32,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_10/barenco_tof_10.tensor.npy,true,0,"(50, 50, 50)","(50, 50, 50)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_10,barenco_tof_10,,4,112,50,16,0,0,32,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_10/barenco_tof_10.tensor.npy,true,0,"(50, 50, 50)","(50, 50, 50)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_10,barenco_tof_10,,5,112,50,16,0,0,32,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_10/barenco_tof_10.tensor.npy,true,0,"(50, 50, 50)","(50, 50, 50)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_10,barenco_tof_10,,6,112,50,16,0,0,32,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_10/barenco_tof_10.tensor.npy,true,0,"(50, 50, 50)","(50, 50, 50)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_10,barenco_tof_10,,7,112,50,16,0,0,32,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_10/barenco_tof_10.tensor.npy,true,0,"(50, 50, 50)","(50, 50, 50)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_10,barenco_tof_10,,8,112,50,16,0,0,32,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_10/barenco_tof_10.tensor.npy,true,0,"(50, 50, 50)","(50, 50, 50)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_10,barenco_tof_10,,9,112,50,16,0,0,32,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_10/barenco_tof_10.tensor.npy,true,0,"(50, 50, 50)","(50, 50, 50)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_3,barenco_tof_3,,0,14,8,2,0,0,4,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_3/barenco_tof_3.tensor.npy,true,0,"(8, 8, 8)","(8, 8, 8)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_4,barenco_tof_4,,0,28,14,4,0,0,8,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_4/barenco_tof_4.tensor.npy,true,0,"(14, 14, 14)","(14, 14, 14)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_4,barenco_tof_4,,1,28,14,4,0,0,8,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_4/barenco_tof_4.tensor.npy,true,0,"(14, 14, 14)","(14, 14, 14)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_4,barenco_tof_4,,2,28,14,4,0,0,8,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_4/barenco_tof_4.tensor.npy,true,0,"(14, 14, 14)","(14, 14, 14)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
