source_split,target,family,functional_family,n_qubits,tensor_size,original_tcount,objective_variant,execution_status,has_beam_candidate,factor_count,factor_qubit_concentration_index,factor_support_weight_mean,factor_pairwise_support_overlap_mean,factor_pairwise_jaccard_mean,decomp_tcount,decomp_tdepth,decomp_qasm_depth,decomp_qasm_depth_ratio,decomp_structural_status,optimization_elapsed_sec,materialization_elapsed_sec,objective_elapsed_sec,best_beam_materializer,best_beam_tcount,best_beam_tdepth,best_beam_qasm_depth,best_beam_qasm_depth_ratio,best_beam_primary_nc_depth_ratio,best_beam_cnots,target_objective_count,train_ready,oracle_objective,oracle_selection_status,objective_t_safe,objective_qasm_safe,objective_is_oracle,objective_rank,best_beam_summary_path
internal,gf_2pow3_mult,arithmetic,gf-multiplier,9,9,63,mixed_pair,ok,True,35,0.11531190926275993,2.6285714285714286,0.7428571428571429,0.18183273309323728,35.0,5.0,235.0,2.9012345679012346,ok,,,,selected-beam-shared-parity-w16,35.0,6.0,191.0,2.3580246913580245,0.7395833333333334,98.0,3,True,factor_count_pair_cap,constrained,True,True,False,2,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/mixed_pair/selected-beam-shared-parity-w16/summary.json
internal,gf_2pow3_mult,arithmetic,gf-multiplier,9,9,63,frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count_pair_cap,constrained,False,False,False,,
internal,gf_2pow3_mult,arithmetic,gf-multiplier,9,9,63,depth_guarded_mixed_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count_pair_cap,constrained,False,False,False,,
internal,gf_2pow3_mult,arithmetic,gf-multiplier,9,9,63,t_preserving_frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count_pair_cap,constrained,False,False,False,,
internal,hamming_weight_n4,applications,hamming-weight,7,9,21,factor_count,ok,True,23,0.11966701352757544,2.6956521739130435,0.7865612648221344,0.17192734801430454,23.0,4.0,200.0,5.882352941176471,ok,,,,selected-beam-shared-parity-w16,23.0,5.0,179.0,5.264705882352941,1.162162162162162,60.0,3,True,mixed_pair,constrained,True,True,False,3,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/hamming_weight_n4/factor_count/selected-beam-shared-parity-w16/summary.json
internal,hamming_weight_n4,applications,hamming-weight,7,9,21,factor_count_pair_cap,ok,True,21,0.13314967860422405,3.142857142857143,1.223809523809524,0.2593424036281179,21.0,3.0,189.0,5.5588235294117645,ok,,,,selected-beam-shared-parity-w16,21.0,4.0,165.0,4.852941176470588,0.972972972972973,66.0,3,True,mixed_pair,constrained,True,True,False,2,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/hamming_weight_n4/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json
internal,hamming_weight_n4,applications,hamming-weight,7,9,21,mixed_pair,ok,True,20,0.13010204081632654,2.8,0.9263157894736842,0.21748120300751878,20.0,3.0,182.0,5.352941176470588,ok,,,,selected-beam-shared-parity-w16,20.0,4.0,173.0,5.088235294117647,0.8108108108108109,44.0,3,True,mixed_pair,constrained,True,True,True,1,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/hamming_weight_n4/mixed_pair/selected-beam-shared-parity-w16/summary.json
internal,hamming_weight_n4,applications,hamming-weight,7,9,21,frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,mixed_pair,constrained,False,False,False,,
internal,hamming_weight_n4,applications,hamming-weight,7,9,21,depth_guarded_mixed_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,mixed_pair,constrained,False,False,False,,
internal,hamming_weight_n4,applications,hamming-weight,7,9,21,t_preserving_frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,mixed_pair,constrained,False,False,False,,
internal,hamming_weight_n5,applications,hamming-weight,8,10,21,factor_count,ok,True,20,0.11777777777777777,3.0,0.9578947368421052,0.20553884711779452,20.0,9.0,227.0,5.973684210526316,ok,,,,selected-beam-shared-parity-w16,20.0,3.0,182.0,4.7894736842105265,0.8536585365853658,60.0,3,True,factor_count_pair_cap,constrained,True,True,False,3,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/hamming_weight_n5/factor_count/selected-beam-shared-parity-w16/summary.json
internal,hamming_weight_n5,applications,hamming-weight,8,10,21,factor_count_pair_cap,ok,True,19,0.11777777777777777,3.1578947368421053,1.064327485380117,0.21631161236424393,19.0,6.0,207.0,5.447368421052632,ok,,,,selected-beam-shared-parity-w16,19.0,3.0,180.0,4.7368421052631575,0.8780487804878049,50.0,3,True,factor_count_pair_cap,constrained,True,True,True,1,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/hamming_weight_n5/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json
internal,hamming_weight_n5,applications,hamming-weight,8,10,21,mixed_pair,ok,True,20,0.11777777777777777,3.0,0.9578947368421052,0.20553884711779447,20.0,8.0,198.0,5.2105263157894735,ok,,,,selected-beam-shared-parity-w16,20.0,3.0,180.0,4.7368421052631575,0.8292682926829268,60.0,3,True,factor_count_pair_cap,constrained,True,True,False,2,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/hamming_weight_n5/mixed_pair/selected-beam-shared-parity-w16/summary.json
