policy,policy_type,fold_target,source_split,target,selection_status,selected_objective,fixed_objective,oracle_objective,exact_oracle_match,weights,selected_tcount,selected_primary_nc_depth_ratio,selected_qasm_depth,baseline_tcount,baseline_primary_nc_depth_ratio,baseline_qasm_depth,oracle_tcount,oracle_primary_nc_depth_ratio,oracle_qasm_depth,tcount_ratio_vs_baseline,primary_ratio_vs_baseline,qasm_ratio_vs_baseline,tcount_ratio_vs_oracle,qasm_ratio_vs_oracle
best_fixed_loto,fixed-objective,barenco_tof_4,external_article_repair2_barenco,barenco_tof_4,ok,factor_count,factor_count,mixed_pair,False,,64.0,0.9611650485436893,298.0,64.0,0.9611650485436893,298.0,42.0,0.7087378640776699,266.0,1.0,1.0,1.0,1.5238095238095237,1.1203007518796992
oracle_posthoc,oracle,barenco_tof_4,external_article_repair2_barenco,barenco_tof_4,ok,mixed_pair,,mixed_pair,True,,42.0,0.7087378640776699,266.0,64.0,0.9611650485436893,298.0,42.0,0.7087378640776699,266.0,0.65625,0.7373737373737373,0.8926174496644296,1.0,1.0
split_select_linear_alphaq,alphaq-factor,barenco_tof_4,external_article_repair2_barenco,barenco_tof_4,ok,mixed_pair,,mixed_pair,True,"factor_count:2,factor_pairwise_support_overlap_mean:1",42.0,0.7087378640776699,266.0,64.0,0.9611650485436893,298.0,42.0,0.7087378640776699,266.0,0.65625,0.7373737373737373,0.8926174496644296,1.0,1.0
split_select_linear_alphaq_decomp,alphaq-decomp,barenco_tof_4,external_article_repair2_barenco,barenco_tof_4,ok,mixed_pair,,mixed_pair,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",42.0,0.7087378640776699,266.0,64.0,0.9611650485436893,298.0,42.0,0.7087378640776699,266.0,0.65625,0.7373737373737373,0.8926174496644296,1.0,1.0
split_select_linear_alphaq_qasm,alphaq-qasm,barenco_tof_4,external_article_repair2_barenco,barenco_tof_4,ok,mixed_pair,,mixed_pair,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",42.0,0.7087378640776699,266.0,64.0,0.9611650485436893,298.0,42.0,0.7087378640776699,266.0,0.65625,0.7373737373737373,0.8926174496644296,1.0,1.0
baseline_factor_count,baseline,barenco_tof_4,external_journal_k6_backfill,barenco_tof_4,ok,factor_count,,factor_count,True,,64.0,1.0388349514563107,300.0,64.0,1.0388349514563107,300.0,64.0,1.0388349514563107,300.0,1.0,1.0,1.0,1.0,1.0
best_fixed_loto,fixed-objective,barenco_tof_4,external_journal_k6_backfill,barenco_tof_4,ok,factor_count,factor_count,factor_count,True,,64.0,1.0388349514563107,300.0,64.0,1.0388349514563107,300.0,64.0,1.0388349514563107,300.0,1.0,1.0,1.0,1.0,1.0
oracle_posthoc,oracle,barenco_tof_4,external_journal_k6_backfill,barenco_tof_4,ok,factor_count,,factor_count,True,,64.0,1.0388349514563107,300.0,64.0,1.0388349514563107,300.0,64.0,1.0388349514563107,300.0,1.0,1.0,1.0,1.0,1.0
split_select_linear_alphaq,alphaq-factor,barenco_tof_4,external_journal_k6_backfill,barenco_tof_4,ok,factor_count,,factor_count,True,"factor_count:2,factor_pairwise_support_overlap_mean:1",64.0,1.0388349514563107,300.0,64.0,1.0388349514563107,300.0,64.0,1.0388349514563107,300.0,1.0,1.0,1.0,1.0,1.0
split_select_linear_alphaq_decomp,alphaq-decomp,barenco_tof_4,external_journal_k6_backfill,barenco_tof_4,ok,factor_count,,factor_count,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",64.0,1.0388349514563107,300.0,64.0,1.0388349514563107,300.0,64.0,1.0388349514563107,300.0,1.0,1.0,1.0,1.0,1.0
split_select_linear_alphaq_qasm,alphaq-qasm,barenco_tof_4,external_journal_k6_backfill,barenco_tof_4,ok,factor_count,,factor_count,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",64.0,1.0388349514563107,300.0,64.0,1.0388349514563107,300.0,64.0,1.0388349514563107,300.0,1.0,1.0,1.0,1.0,1.0
baseline_factor_count,baseline,barenco_tof_5,external_journal_k6_frontier,barenco_tof_5,ok,factor_count,,t_preserving_frontier_pair,False,,115.0,1.2875816993464053,606.0,115.0,1.2875816993464053,606.0,109.0,1.3790849673202614,619.0,1.0,1.0,1.0,1.055045871559633,0.9789983844911146
best_fixed_loto,fixed-objective,barenco_tof_5,external_journal_k6_frontier,barenco_tof_5,ok,factor_count,factor_count,t_preserving_frontier_pair,False,,115.0,1.2875816993464053,606.0,115.0,1.2875816993464053,606.0,109.0,1.3790849673202614,619.0,1.0,1.0,1.0,1.055045871559633,0.9789983844911146
oracle_posthoc,oracle,barenco_tof_5,external_journal_k6_frontier,barenco_tof_5,ok,t_preserving_frontier_pair,,t_preserving_frontier_pair,True,,109.0,1.3790849673202614,619.0,115.0,1.2875816993464053,606.0,109.0,1.3790849673202614,619.0,0.9478260869565217,1.0710659898477157,1.0214521452145215,1.0,1.0
split_select_linear_alphaq,alphaq-factor,barenco_tof_5,external_journal_k6_frontier,barenco_tof_5,ok,frontier_pair,,t_preserving_frontier_pair,False,"factor_count:2,factor_pairwise_support_overlap_mean:1",109.0,1.4313725490196079,621.0,115.0,1.2875816993464053,606.0,109.0,1.3790849673202614,619.0,0.9478260869565217,1.1116751269035532,1.0247524752475248,1.0,1.0032310177705976
split_select_linear_alphaq_decomp,alphaq-decomp,barenco_tof_5,external_journal_k6_frontier,barenco_tof_5,ok,frontier_pair,,t_preserving_frontier_pair,False,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",109.0,1.4313725490196079,621.0,115.0,1.2875816993464053,606.0,109.0,1.3790849673202614,619.0,0.9478260869565217,1.1116751269035532,1.0247524752475248,1.0,1.0032310177705976
split_select_linear_alphaq_qasm,alphaq-qasm,barenco_tof_5,external_journal_k6_frontier,barenco_tof_5,ok,frontier_pair,,t_preserving_frontier_pair,False,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",109.0,1.4313725490196079,621.0,115.0,1.2875816993464053,606.0,109.0,1.3790849673202614,619.0,0.9478260869565217,1.1116751269035532,1.0247524752475248,1.0,1.0032310177705976
baseline_factor_count,baseline,csla_mux_3,external_journal_k6_frontier,csla_mux_3,ok,factor_count,,t_preserving_frontier_pair,False,,165.0,3.2135922330097086,651.0,165.0,3.2135922330097086,651.0,137.0,2.5728155339805827,604.0,1.0,1.0,1.0,1.2043795620437956,1.0778145695364238
best_fixed_loto,fixed-objective,csla_mux_3,external_journal_k6_frontier,csla_mux_3,ok,factor_count,factor_count,t_preserving_frontier_pair,False,,165.0,3.2135922330097086,651.0,165.0,3.2135922330097086,651.0,137.0,2.5728155339805827,604.0,1.0,1.0,1.0,1.2043795620437956,1.0778145695364238
oracle_posthoc,oracle,csla_mux_3,external_journal_k6_frontier,csla_mux_3,ok,t_preserving_frontier_pair,,t_preserving_frontier_pair,True,,137.0,2.5728155339805827,604.0,165.0,3.2135922330097086,651.0,137.0,2.5728155339805827,604.0,0.8303030303030303,0.8006042296072509,0.9278033794162827,1.0,1.0
