circuit_id,method,method_label,source_method,source,family,faixa,n_qubits,method_status,verify_status,qasm_artifact_path,tcount_before,tcount_after,delta_t,rel_gain_t,tdepth_before,tdepth_after,delta_tdepth,depth_after,gate_count_after,rho_t,rho_w,n_clifford_blocks,n_nonclifford_blocks,avg_nonclifford_block_len,hadamard_boundary_density,selection_objective,tensor_v3_selection_status,tensor_v3_selection_error,tensor_v3_ranking_strategy,tensor_v3_profile,tensor_v3_mixed_slack,structural_cost,predicted_structural_cost,prediction_std,prediction_tolerance,alphaq_target_status,alphaq_nc_core_area_ratio,alphaq_dependency_core_area_ratio,alphaq_nc_core_depth_ratio,alphaq_nc_core_width_ratio,alphaq_dependency_core_depth_ratio,alphaq_dependency_core_width_ratio,alphaq_total_depth_ratio,alphaq_total_area_ratio,alphaq_crossing_closure_count,alphaq_nc_core_depth,alphaq_nc_core_width,alphaq_nc_core_area,alphaq_dependency_core_depth,alphaq_dependency_core_width,alphaq_dependency_core_area,alphaq_dependency_boundary_edge_count,alphaq_dependency_component_count,alphaq_dependency_chain_depth,tensor_v3_status,tensor_v3_partition_id,tensor_v3_partition_kind,tensor_v3_tcount_tolerance,tensor_v3_mixed_excess_norm,tensor_v3_mixed_auc_greedy_norm,tensor_v3_singleton_bridge_count_norm,tensor_v3_score_lex,scheduled_layers,active_t_qubits,t_qubit_fraction,t_locality_span_qubits,t_locality_span_fraction,first_t_layer,last_t_layer,nonclifford_core_layers,nonclifford_core_area,nonclifford_core_density,clifford_prefix_ratio,clifford_suffix_ratio,heuristic_splitting_score,locality_status,locality_error,zx_split_status,zx_split_error,zx_total_depth,zx_num_qubits,zx_num_nonclifford_spiders,zx_num_cross_edges,zx_left_clifford_depth,zx_left_nonclifford_depth,zx_left_clifford_fraction,zx_left_nonclifford_fraction,zx_left_core_qubits,zx_left_closure_iters,zx_left_border_min_row,zx_left_border_max_row,zx_right_clifford_depth,zx_right_nonclifford_depth,zx_right_clifford_fraction,zx_right_nonclifford_fraction,zx_right_core_qubits,zx_right_closure_iters,zx_right_border_min_row,zx_right_border_max_row,zx_best_side,zx_best_clifford_depth,zx_best_nonclifford_depth,zx_best_clifford_fraction,zx_best_nonclifford_fraction,zx_split_normalization_status,zx_split_normalization_error,structural_target_status,structural_target_error,primary_nc_depth_ratio,primary_nc_depth_delta_vs_original,zx_total_depth_ratio,qasm_depth_ratio,tcount_improves_primary_worsens,clifford_fraction_misleading,zx_depth_inflation,qasm_depth_inflation,formal_verification_status,formal_verification_error,formal_proof_path
hamming_weight_n4,alphaq_tensor_v3_phase_slack,AlphaQ tensor-v3 phase-slack,public_resynth_tensor_v3_phase_slack,vendored-local,applications,M,7,ok,not-run,results/public_resynth_tensor_v3_phase_slack/public_resynth_tensor_v3_phase_slack/hamming_weight_n4/assembled.qasm,21,21,0,0.0,6,6,0,221,309,0.06796116504854369,0.42168674698795183,16,15,1.4,0.3,tensor-v3,ok,,phase-slack-v1,conservative,0.2,7.676470588235294,,,,ok,2.457983193277311,7.676470588235294,1.911764705882353,1.2857142857142858,5.970588235294118,1.2857142857142858,6.5,8.357142857142858,50,65,9,585,203,9,1827,52,1,203,ok,semantic_role_k2,semantic-role,0.12,0.0,0.36666666666666664,0.0,0;0.366666666667;0;f1491490d6284225,221,6,0.6666666666666666,7,0.7777777777777778,10,74,65,455,0.046153846153846156,0.04524886877828054,0.6606334841628959,0.31357968828557065,ok,,ok,,260,9,21,218,15,245,0.057692307692307696,0.9423076923076923,9,1,16,79,165,95,0.6346153846153846,0.36538461538461536,9,1,35,96,right,165,95,0.6346153846153846,0.36538461538461536,ok,,ok,,2.5675675675675675,1.6216216216216215,7.027027027027027,6.5,False,True,True,True,equal,,results/verification/entrega1/proofs/hamming_weight_n4/public_resynth_tensor_v3_phase_slack.verify.txt
hamming_weight_n4,alphaq_final,AlphaQ-final,public_resynth_alphaq_final,vendored-local,applications,M,7,ok,not-run,results/public_resynth_alphaq_final/public_resynth_alphaq_final/hamming_weight_n4/assembled.qasm,21,21,0,0.0,6,6,0,221,309,0.06796116504854369,0.42168674698795183,16,15,1.4,0.3,alphaq_final_pairwise_mlp_ranker,,,,,,7.676470588235294,12.4362065039683,0.7292023104927313,0.05,ok,2.457983193277311,7.676470588235294,1.911764705882353,1.2857142857142858,5.970588235294118,1.2857142857142858,6.5,8.357142857142858,50,65,9,585,203,9,1827,52,1,203,,,,,,,,,221,6,0.6666666666666666,7,0.7777777777777778,10,74,65,455,0.046153846153846156,0.04524886877828054,0.6606334841628959,0.31357968828557065,ok,,ok,,260,9,21,218,15,245,0.057692307692307696,0.9423076923076923,9,1,16,79,165,95,0.6346153846153846,0.36538461538461536,9,1,35,96,right,165,95,0.6346153846153846,0.36538461538461536,ok,,ok,,2.5675675675675675,1.6216216216216215,7.027027027027027,6.5,False,True,True,True,equal,,results/verification/entrega1/proofs/hamming_weight_n4/public_resynth_alphaq_final.verify.txt
hamming_weight_n5,original,Original,original,vendored-local,applications,M,8,ok,not-run,external/circuit-to-tensor/benchmarks/applications/hamming_weight_n5/hamming_weight_n5.qasm,21,21,0,0.0,6,6,0,38,56,0.375,0.8571428571428571,16,15,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,6,0.75,7,0.875,3,35,33,231,0.09090909090909091,0.07894736842105263,0.05263157894736842,0.1527212918660287,ok,,ok,,41,8,21,29,3,38,0.07317073170731707,0.926829268292683,8,1,4,30,4,39,0.0975609756097561,0.9512195121951219,8,3,15,39,right,4,39,0.0975609756097561,0.9512195121951219,ok,,ok,,0.9512195121951219,0.0,1.0,1.0,False,False,False,False,not-applicable,,
hamming_weight_n5,pyzx,PyZX,pyzx,vendored-local,applications,M,8,ok,not-run,results/pyzx/hamming_weight_n5/optimized.qasm,21,21,0,0.0,6,6,0,112,229,0.09170305676855896,0.5023923444976076,22,21,1.0,1.4285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,7,0.875,8,1.0,17,108,92,736,0.028532608695652172,0.15178571428571427,0.026785714285714284,0.07981366459627329,ok,,ok,,140,8,21,64,34,114,0.24285714285714285,0.8142857142857143,8,1,26,115,14,137,0.1,0.9785714285714285,8,1,96,137,left,34,114,0.24285714285714285,0.8142857142857143,ok,,ok,,2.7804878048780486,1.8292682926829267,3.4146341463414633,2.9473684210526314,False,True,True,True,equal,,results/verification/entrega1/proofs/hamming_weight_n5/pyzx.verify.txt
hamming_weight_n5,alphatensor_public,AlphaTensor-public,public_resynth_gadgets,vendored-local,applications,M,8,ok,not-run,results/public_resynth/public_resynth_gadgets/hamming_weight_n5/assembled.qasm,21,21,0,0.0,6,4,2,224,327,0.06422018348623854,0.4069767441860465,16,15,1.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,6,0.6,8,0.8,11,69,59,472,0.04449152542372881,0.049107142857142856,0.6875,0.3363983050847458,ok,,ok,,262,10,21,234,15,247,0.05725190839694656,0.9427480916030534,10,1,16,72,174,90,0.6641221374045801,0.3435114503816794,10,2,38,90,right,174,90,0.6641221374045801,0.3435114503816794,ok,,ok,,2.1951219512195124,1.2439024390243905,6.390243902439025,5.894736842105263,False,True,True,True,equal,,results/verification/entrega1/proofs/hamming_weight_n5/public_resynth_gadgets.verify.txt
hamming_weight_n5,alphaq_tensor_v3,AlphaQ tensor-v3,public_resynth_tensor_v3,vendored-local,applications,M,8,ok,not-run,results/public_resynth_tensor_v3/public_resynth_tensor_v3/hamming_weight_n5/assembled.qasm,21,21,0,0.0,6,4,2,224,327,0.06422018348623854,0.4069767441860465,16,15,1.4,0.3,tensor-v3,ok,,lex-v1,,,6.776315789473684,,,,ok,1.9407894736842106,6.776315789473684,1.5526315789473684,1.25,5.421052631578948,1.25,5.894736842105263,7.368421052631579,48,59,10,590,206,10,2060,53,1,206,ok,semantic_role_k2,semantic-role,0.1,0.0,0.38095238095238093,0.0,0;0.380952380952;0;678eaefa9e20b5b2,224,6,0.6,8,0.8,11,69,59,472,0.04449152542372881,0.049107142857142856,0.6875,0.3363983050847458,ok,,ok,,262,10,21,234,15,247,0.05725190839694656,0.9427480916030534,10,1,16,72,174,90,0.6641221374045801,0.3435114503816794,10,2,38,90,right,174,90,0.6641221374045801,0.3435114503816794,ok,,ok,,2.1951219512195124,1.2439024390243905,6.390243902439025,5.894736842105263,False,True,True,True,equal,,results/verification/entrega1/proofs/hamming_weight_n5/public_resynth_tensor_v3.verify.txt
hamming_weight_n5,alphaq_tensor_v3_phase_slack,AlphaQ tensor-v3 phase-slack,public_resynth_tensor_v3_phase_slack,vendored-local,applications,M,8,ok,not-run,results/public_resynth_tensor_v3_phase_slack/public_resynth_tensor_v3_phase_slack/hamming_weight_n5/assembled.qasm,21,21,0,0.0,6,4,2,224,327,0.06422018348623854,0.4069767441860465,16,15,1.4,0.3,tensor-v3,ok,,phase-slack-v1,conservative,0.2,6.776315789473684,,,,ok,1.9407894736842106,6.776315789473684,1.5526315789473684,1.25,5.421052631578948,1.25,5.894736842105263,7.368421052631579,48,59,10,590,206,10,2060,53,1,206,ok,semantic_role_k2,semantic-role,0.12,0.0,0.38095238095238093,0.0,0;0.380952380952;0;678eaefa9e20b5b2,224,6,0.6,8,0.8,11,69,59,472,0.04449152542372881,0.049107142857142856,0.6875,0.3363983050847458,ok,,ok,,262,10,21,234,15,247,0.05725190839694656,0.9427480916030534,10,1,16,72,174,90,0.6641221374045801,0.3435114503816794,10,2,38,90,right,174,90,0.6641221374045801,0.3435114503816794,ok,,ok,,2.1951219512195124,1.2439024390243905,6.390243902439025,5.894736842105263,False,True,True,True,equal,,results/verification/entrega1/proofs/hamming_weight_n5/public_resynth_tensor_v3_phase_slack.verify.txt
hamming_weight_n5,alphaq_final,AlphaQ-final,public_resynth_alphaq_final,vendored-local,applications,M,8,ok,not-run,results/public_resynth_alphaq_final/public_resynth_alphaq_final/hamming_weight_n5/assembled.qasm,21,21,0,0.0,6,4,2,224,327,0.06422018348623854,0.4069767441860465,16,15,1.4,0.3,alphaq_final_pairwise_mlp_ranker,,,,,,6.776315789473684,12.077382446857486,0.6156946894641022,0.05,ok,1.9407894736842106,6.776315789473684,1.5526315789473684,1.25,5.421052631578948,1.25,5.894736842105263,7.368421052631579,48,59,10,590,206,10,2060,53,1,206,,,,,,,,,224,6,0.6,8,0.8,11,69,59,472,0.04449152542372881,0.049107142857142856,0.6875,0.3363983050847458,ok,,ok,,262,10,21,234,15,247,0.05725190839694656,0.9427480916030534,10,1,16,72,174,90,0.6641221374045801,0.3435114503816794,10,2,38,90,right,174,90,0.6641221374045801,0.3435114503816794,ok,,ok,,2.1951219512195124,1.2439024390243905,6.390243902439025,5.894736842105263,False,True,True,True,equal,,results/verification/entrega1/proofs/hamming_weight_n5/public_resynth_alphaq_final.verify.txt
mod_5_4,original,Original,original,vendored-local,arithmetic,S,5,ok,not-run,external/circuit-to-tensor/benchmarks/arithmetic/mod_5_4/mod_5_4.qasm,28,28,0,0.0,16,16,0,59,79,0.35443037974683544,0.8459214501510574,21,20,1.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,5,1.0,5,1.0,5,54,50,250,0.112,0.0847457627118644,0.06779661016949153,0.03934915254237288,ok,,ok,,59,5,28,28,5,54,0.0847457627118644,0.9152542372881356,5,1,6,34,5,56,0.0847457627118644,0.9491525423728814,5,1,28,56,tie,5,54,0.0847457627118644,0.9152542372881356,ok,,ok,,0.9152542372881356,0.0,1.0,1.0,False,False,False,False,not-applicable,,
mod_5_4,pyzx,PyZX,pyzx,vendored-local,arithmetic,S,5,ok,not-run,results/pyzx/mod_5_4/optimized.qasm,28,8,20,0.7142857142857143,16,2,14,45,103,0.07766990291262135,0.45714285714285713,9,8,1.0,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,4,0.8,5,1.0,9,39,31,155,0.05161290322580645,0.2,0.1111111111111111,0.12032258064516127,ok,,ok,,62,5,8,22,24,49,0.3870967741935484,0.7903225806451613,5,1,11,47,15,54,0.24193548387096775,0.8709677419354839,5,1,23,57,left,24,49,0.3870967741935484,0.7903225806451613,ok,,ok,,0.8305084745762712,-0.0847457627118644,1.0508474576271187,0.7627118644067796,False,False,False,False,equal,,results/verification/entrega1/proofs/mod_5_4/pyzx.verify.txt
