policy,source_split,target,selection_status,selected_objective,oracle_objective,exact_oracle_match,selected_tcount,selected_primary_nc_depth_ratio,selected_qasm_depth,selected_runtime_sec,baseline_tcount,baseline_primary_nc_depth_ratio,baseline_qasm_depth,baseline_runtime_sec,oracle_tcount,oracle_primary_nc_depth_ratio,oracle_qasm_depth,oracle_runtime_sec,tcount_ratio_vs_baseline,primary_ratio_vs_baseline,qasm_ratio_vs_baseline,runtime_ratio_vs_baseline,tcount_ratio_vs_oracle,qasm_ratio_vs_oracle
circuit_knn3,internal,cuccaro_adder_n3,ok,factor_count,factor_count_pair_cap,False,13.0,0.4935064935064935,211.0,,13.0,0.4935064935064935,211.0,,13.0,0.4805194805194805,200.0,,1.0,1.0,1.0,,1.0,1.055
circuit_nearest_centroid,internal,cuccaro_adder_n3,ok,mixed_pair,factor_count_pair_cap,False,19.0,0.6233766233766234,204.0,,13.0,0.4935064935064935,211.0,,13.0,0.4805194805194805,200.0,,1.4615384615384615,1.263157894736842,0.966824644549763,,1.4615384615384615,1.02
circuit_softmax,internal,cuccaro_adder_n3,ok,factor_count_pair_cap,factor_count_pair_cap,True,13.0,0.4805194805194805,200.0,,13.0,0.4935064935064935,211.0,,13.0,0.4805194805194805,200.0,,1.0,0.9736842105263158,0.9478672985781991,,1.0,1.0
shuffled_centroid_control,internal,cuccaro_adder_n3,ok,factor_count_pair_cap,factor_count_pair_cap,True,13.0,0.4805194805194805,200.0,,13.0,0.4935064935064935,211.0,,13.0,0.4805194805194805,200.0,,1.0,0.9736842105263158,0.9478672985781991,,1.0,1.0
oracle_posthoc,internal,cuccaro_adder_n3,ok,factor_count_pair_cap,factor_count_pair_cap,True,13.0,0.4805194805194805,200.0,,13.0,0.4935064935064935,211.0,,13.0,0.4805194805194805,200.0,,1.0,0.9736842105263158,0.9478672985781991,,1.0,1.0
baseline_factor_count,external_article_extended,cuccaro_adder_n4,ok,factor_count,factor_count_pair_cap,False,32.0,0.6274509803921569,259.0,,32.0,0.6274509803921569,259.0,,24.0,0.5098039215686274,254.0,,1.0,1.0,1.0,,1.3333333333333333,1.0196850393700787
best_fixed_loto,external_article_extended,cuccaro_adder_n4,ok,factor_count,factor_count_pair_cap,False,32.0,0.6274509803921569,259.0,,32.0,0.6274509803921569,259.0,,24.0,0.5098039215686274,254.0,,1.0,1.0,1.0,,1.3333333333333333,1.0196850393700787
circuit_1nn,external_article_extended,cuccaro_adder_n4,ok,mixed_pair,factor_count_pair_cap,False,32.0,0.5588235294117647,251.0,,32.0,0.6274509803921569,259.0,,24.0,0.5098039215686274,254.0,,1.0,0.890625,0.9691119691119691,,1.3333333333333333,0.9881889763779528
circuit_knn3,external_article_extended,cuccaro_adder_n4,ok,mixed_pair,factor_count_pair_cap,False,32.0,0.5588235294117647,251.0,,32.0,0.6274509803921569,259.0,,24.0,0.5098039215686274,254.0,,1.0,0.890625,0.9691119691119691,,1.3333333333333333,0.9881889763779528
circuit_nearest_centroid,external_article_extended,cuccaro_adder_n4,ok,frontier_pair,factor_count_pair_cap,False,43.0,0.6176470588235294,257.0,,32.0,0.6274509803921569,259.0,,24.0,0.5098039215686274,254.0,,1.34375,0.984375,0.9922779922779923,,1.7916666666666667,1.0118110236220472
circuit_softmax,external_article_extended,cuccaro_adder_n4,ok,factor_count_pair_cap,factor_count_pair_cap,True,24.0,0.5098039215686274,254.0,,32.0,0.6274509803921569,259.0,,24.0,0.5098039215686274,254.0,,0.75,0.8125,0.9806949806949807,,1.0,1.0
shuffled_centroid_control,external_article_extended,cuccaro_adder_n4,ok,factor_count,factor_count_pair_cap,False,32.0,0.6274509803921569,259.0,,32.0,0.6274509803921569,259.0,,24.0,0.5098039215686274,254.0,,1.0,1.0,1.0,,1.3333333333333333,1.0196850393700787
oracle_posthoc,external_article_extended,cuccaro_adder_n4,ok,factor_count_pair_cap,factor_count_pair_cap,True,24.0,0.5098039215686274,254.0,,32.0,0.6274509803921569,259.0,,24.0,0.5098039215686274,254.0,,0.75,0.8125,0.9806949806949807,,1.0,1.0
baseline_factor_count,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,ok,factor_count,factor_count,True,23.0,,241.0,,23.0,,241.0,,23.0,,241.0,,1.0,,1.0,,1.0,1.0
