target,objective_variant,materializer,beam_width,synthesis,factor_order,target_strategy,tcount,tdepth,qasm_depth,num_total_cnots,primary_nc_depth_ratio,qasm_depth_ratio,structural_cost,candidate_dir,summary_path
nc_tof_3,mixed_pair,selected-shared-parity,,shared_parity_network,greedy-cnot,max-change,17.0,5.0,186.0,38.0,0.875,4.894736842105263,6.042105263157895,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/nc_tof_3/mixed_pair/selected-shared-parity,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/nc_tof_3/mixed_pair/selected-shared-parity/summary.json
nc_tof_3,mixed_pair,selected-beam-shared-parity-w4,4,beam_shared_parity_network,greedy-cnot,max-change,17.0,4.0,170.0,30.0,0.675,4.473684210526316,5.4526315789473685,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/nc_tof_3/mixed_pair/selected-beam-shared-parity-w4,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/nc_tof_3/mixed_pair/selected-beam-shared-parity-w4/summary.json
nc_tof_3,mixed_pair,selected-beam-shared-parity-w16,16,beam_shared_parity_network,greedy-cnot,max-change,17.0,6.0,172.0,32.0,0.625,4.526315789473684,5.526315789473684,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/nc_tof_3/mixed_pair/selected-beam-shared-parity-w16,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/nc_tof_3/mixed_pair/selected-beam-shared-parity-w16/summary.json
cuccaro_adder_n3,factor_count,selected-shared-parity,,shared_parity_network,greedy-cnot,max-change,13.0,3.0,225.0,36.0,0.5844155844155844,3.0821917808219177,3.0684931506849313,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/factor_count/selected-shared-parity,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/factor_count/selected-shared-parity/summary.json
cuccaro_adder_n3,factor_count,selected-beam-shared-parity-w4,4,beam_shared_parity_network,greedy-cnot,max-change,13.0,6.0,212.0,32.0,0.5064935064935064,2.904109589041096,2.8649706457925634,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/factor_count/selected-beam-shared-parity-w4,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/factor_count/selected-beam-shared-parity-w4/summary.json
cuccaro_adder_n3,factor_count,selected-beam-shared-parity-w16,16,beam_shared_parity_network,greedy-cnot,max-change,13.0,3.0,211.0,30.0,0.4935064935064935,2.8904109589041096,2.8649706457925634,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/factor_count/selected-beam-shared-parity-w16,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/factor_count/selected-beam-shared-parity-w16/summary.json
cuccaro_adder_n3,factor_count_pair_cap,selected-shared-parity,,shared_parity_network,greedy-cnot,max-change,13.0,6.0,212.0,38.0,0.5974025974025974,2.904109589041096,2.943248532289628,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/factor_count_pair_cap/selected-shared-parity,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/factor_count_pair_cap/selected-shared-parity/summary.json
cuccaro_adder_n3,factor_count_pair_cap,selected-beam-shared-parity-w4,4,beam_shared_parity_network,greedy-cnot,max-change,13.0,4.0,203.0,40.0,0.5844155844155844,2.780821917808219,2.802348336594912,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/factor_count_pair_cap/selected-beam-shared-parity-w4,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/factor_count_pair_cap/selected-beam-shared-parity-w4/summary.json
cuccaro_adder_n3,factor_count_pair_cap,selected-beam-shared-parity-w16,16,beam_shared_parity_network,greedy-cnot,max-change,13.0,4.0,200.0,32.0,0.4805194805194805,2.73972602739726,2.755381604696673,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/factor_count_pair_cap/selected-beam-shared-parity-w16,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json
cuccaro_adder_n3,mixed_pair,selected-shared-parity,,shared_parity_network,greedy-cnot,max-change,19.0,5.0,223.0,52.0,0.7272727272727273,3.0547945205479454,3.131115459882583,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/mixed_pair/selected-shared-parity,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/mixed_pair/selected-shared-parity/summary.json
cuccaro_adder_n3,mixed_pair,selected-beam-shared-parity-w4,4,beam_shared_parity_network,greedy-cnot,max-change,19.0,5.0,206.0,40.0,0.6363636363636364,2.8219178082191783,2.8493150684931505,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/mixed_pair/selected-beam-shared-parity-w4,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/mixed_pair/selected-beam-shared-parity-w4/summary.json
cuccaro_adder_n3,mixed_pair,selected-beam-shared-parity-w16,16,beam_shared_parity_network,greedy-cnot,max-change,19.0,6.0,204.0,38.0,0.6233766233766234,2.7945205479452055,2.8180039138943247,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/mixed_pair/selected-beam-shared-parity-w16,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/mixed_pair/selected-beam-shared-parity-w16/summary.json
gf_2pow3_mult,factor_count,selected-shared-parity,,shared_parity_network,greedy-cnot,max-change,35.0,7.0,258.0,126.0,1.0208333333333333,3.185185185185185,1.4814814814814814,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/factor_count/selected-shared-parity,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/factor_count/selected-shared-parity/summary.json
gf_2pow3_mult,factor_count,selected-beam-shared-parity-w4,4,beam_shared_parity_network,greedy-cnot,max-change,35.0,5.0,201.0,116.0,0.8958333333333334,2.4814814814814814,0.7654320987654321,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/factor_count/selected-beam-shared-parity-w4,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/factor_count/selected-beam-shared-parity-w4/summary.json
gf_2pow3_mult,factor_count,selected-beam-shared-parity-w16,16,beam_shared_parity_network,greedy-cnot,max-change,35.0,6.0,198.0,114.0,0.8541666666666666,2.4444444444444446,0.7283950617283951,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/factor_count/selected-beam-shared-parity-w16,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/factor_count/selected-beam-shared-parity-w16/summary.json
gf_2pow3_mult,factor_count_pair_cap,selected-shared-parity,,shared_parity_network,greedy-cnot,max-change,33.0,8.0,266.0,120.0,1.0,3.2839506172839505,2.8641975308641974,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/factor_count_pair_cap/selected-shared-parity,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/factor_count_pair_cap/selected-shared-parity/summary.json
gf_2pow3_mult,factor_count_pair_cap,selected-beam-shared-parity-w4,4,beam_shared_parity_network,greedy-cnot,max-change,33.0,6.0,203.0,120.0,0.8958333333333334,2.506172839506173,2.0987654320987654,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/factor_count_pair_cap/selected-beam-shared-parity-w4,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/factor_count_pair_cap/selected-beam-shared-parity-w4/summary.json
gf_2pow3_mult,factor_count_pair_cap,selected-beam-shared-parity-w16,16,beam_shared_parity_network,greedy-cnot,max-change,33.0,6.0,200.0,124.0,0.9270833333333334,2.4691358024691357,2.049382716049383,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/factor_count_pair_cap/selected-beam-shared-parity-w16,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json
gf_2pow3_mult,mixed_pair,selected-shared-parity,,shared_parity_network,greedy-cnot,max-change,35.0,5.0,235.0,116.0,0.8541666666666666,2.9012345679012346,2.506172839506173,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/mixed_pair/selected-shared-parity,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/mixed_pair/selected-shared-parity/summary.json
gf_2pow3_mult,mixed_pair,selected-beam-shared-parity-w4,4,beam_shared_parity_network,greedy-cnot,max-change,35.0,6.0,192.0,106.0,0.8020833333333334,2.3703703703703702,1.9753086419753085,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/mixed_pair/selected-beam-shared-parity-w4,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/mixed_pair/selected-beam-shared-parity-w4/summary.json
gf_2pow3_mult,mixed_pair,selected-beam-shared-parity-w16,16,beam_shared_parity_network,greedy-cnot,max-change,35.0,6.0,191.0,98.0,0.7395833333333334,2.3580246913580245,1.962962962962963,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/mixed_pair/selected-beam-shared-parity-w16,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow3_mult/mixed_pair/selected-beam-shared-parity-w16/summary.json
