policy,scope,source_split,target,budget,available_candidates,materialized_objectives,final_objective,final_tcount,final_qasm_depth,oracle_tcount,oracle_qasm_depth,baseline_tcount,baseline_qasm_depth,oracle_t_recovered,tcount_ratio_vs_baseline,qasm_ratio_vs_baseline,tcount_ratio_vs_oracle
top2,groups,internal,hamming_weight_n4,2,3,"mixed_pair,factor_count_pair_cap",mixed_pair,20.0,173.0,20.0,173.0,23.0,179.0,True,0.8695652173913043,0.9664804469273743,1.0
top2,groups,internal,hamming_weight_n5,2,3,"factor_count_pair_cap,mixed_pair",factor_count_pair_cap,19.0,180.0,19.0,180.0,20.0,182.0,True,0.95,0.989010989010989,1.0
top2,groups,internal,mod_5_4,2,3,"factor_count,factor_count_pair_cap",factor_count,7.0,37.0,7.0,37.0,7.0,37.0,True,1.0,1.0,1.0
top2,groups,internal,nc_tof_3,2,3,"factor_count,factor_count_pair_cap",factor_count_pair_cap,13.0,161.0,13.0,161.0,13.0,164.0,True,1.0,0.9817073170731707,1.0
top3,groups,external_article_core,gf_2pow2_mult,3,4,"frontier_pair,mixed_pair,factor_count_pair_cap",frontier_pair,17.0,98.0,17.0,97.0,17.0,97.0,True,1.0,1.0103092783505154,1.0
top3,groups,external_article_core,hamming_weight_n4,3,4,"factor_count_pair_cap,factor_count,frontier_pair",factor_count,19.0,164.0,19.0,164.0,19.0,164.0,True,1.0,1.0,1.0
top3,groups,external_article_core,hamming_weight_n5,3,4,"factor_count,frontier_pair,mixed_pair",factor_count,19.0,179.0,19.0,179.0,19.0,179.0,True,1.0,1.0,1.0
top3,groups,external_article_core,mod_5_4,3,4,"factor_count,factor_count_pair_cap,frontier_pair",factor_count,7.0,37.0,7.0,37.0,7.0,37.0,True,1.0,1.0,1.0
top3,groups,external_article_core,nc_tof_4,3,4,"frontier_pair,factor_count_pair_cap,factor_count",frontier_pair,32.0,245.0,32.0,245.0,37.0,252.0,True,0.8648648648648649,0.9722222222222222,1.0
top3,groups,external_article_core,vbe_adder_3,3,3,"factor_count,frontier_pair,factor_count_pair_cap",factor_count,65.0,296.0,65.0,296.0,65.0,296.0,True,1.0,1.0,1.0
top3,groups,external_article_extended,cuccaro_adder_n4,3,4,"factor_count_pair_cap,factor_count,mixed_pair",factor_count_pair_cap,24.0,254.0,24.0,254.0,32.0,258.0,True,0.75,0.9844961240310077,1.0
top3,groups,external_article_extended,gf_2pow4_mult,3,4,"factor_count_pair_cap,factor_count,mixed_pair",factor_count_pair_cap,56.0,462.0,56.0,462.0,58.0,461.0,True,0.9655172413793104,1.002169197396963,1.0
top3,groups,external_article_extended,hamming_weight_n6,3,4,"frontier_pair,factor_count_pair_cap,factor_count",factor_count_pair_cap,25.0,168.0,25.0,168.0,25.0,172.0,True,1.0,0.9767441860465116,1.0
top3,groups,external_article_extended,hamming_weight_n7,3,4,"frontier_pair,factor_count,mixed_pair",frontier_pair,28.0,193.0,28.0,193.0,34.0,214.0,True,0.8235294117647058,0.9018691588785047,1.0
