circuit_id,method,method_label,source_method,source,family,faixa,n_qubits,method_status,verify_status,qasm_artifact_path,tcount_before,tcount_after,delta_t,rel_gain_t,tdepth_before,tdepth_after,delta_tdepth,depth_after,gate_count_after,rho_t,rho_w,n_clifford_blocks,n_nonclifford_blocks,avg_nonclifford_block_len,hadamard_boundary_density,scheduled_layers,active_t_qubits,t_qubit_fraction,t_locality_span_qubits,t_locality_span_fraction,first_t_layer,last_t_layer,nonclifford_core_layers,nonclifford_core_area,nonclifford_core_density,clifford_prefix_ratio,clifford_suffix_ratio,heuristic_splitting_score,locality_status,locality_error,formal_verification_status,formal_verification_error,formal_proof_path
qft_4,pyzx,PyZX,pyzx,vendored-local,arithmetic,L,5,ok,not-run,results/pyzx/qft_4/optimized.qasm,69,67,2,0.028985507246376812,40,37,3,239,322,0.2080745341614907,0.7243243243243244,68,67,1.0,0.8582089552238806,239,5,1.0,5,1.0,8,235,228,1140,0.058771929824561406,0.03347280334728033,0.012552301255230125,0.018448946634368347,ok,,equal,,results/verification/entrega1/proofs/qft_4/pyzx.verify.txt
qft_4,alphatensor_public,AlphaTensor-public,public_resynth_no_gadgets,vendored-local,arithmetic,L,5,ok,not-run,results/public_resynth/public_resynth_no_gadgets/qft_4/assembled.qasm,69,53,16,0.2318840579710145,40,25,15,529,893,0.0593505039193729,0.38686131386861317,54,53,1.0,0.32075471698113206,529,19,0.4418604651162791,43,1.0,1,146,146,6278,0.008442179037910162,0.001890359168241966,0.722117202268431,0.3414607134705706,ok,,equal,,results/verification/entrega1/proofs/qft_4/public_resynth_no_gadgets.verify.txt
vbe_adder_3,original,Original,original,vendored-local,arithmetic,M,10,ok,not-run,external/circuit-to-tensor/benchmarks/arithmetic/vbe_adder_3/vbe_adder_3.qasm,70,70,0,0.0,18,18,0,97,190,0.3684210526315789,0.8536585365853658,51,50,1.4,0.22,97,10,1.0,10,1.0,4,93,90,900,0.07777777777777778,0.041237113402061855,0.030927835051546393,0.023802978235967928,ok,,not-applicable,,
vbe_adder_3,pyzx,PyZX,pyzx,vendored-local,arithmetic,M,10,ok,not-run,results/pyzx/vbe_adder_3/optimized.qasm,70,24,46,0.6571428571428571,18,6,12,143,262,0.0916030534351145,0.502092050209205,25,24,1.0,1.2291666666666667,143,8,0.8,9,0.9,29,134,106,954,0.025157232704402517,0.20279720279720279,0.055944055944055944,0.14059088710032103,ok,,equal,,results/verification/entrega1/proofs/vbe_adder_3/pyzx.verify.txt
vbe_adder_3,alphatensor_public,AlphaTensor-public,public_resynth_no_gadgets,vendored-local,arithmetic,M,10,ok,not-run,results/public_resynth/public_resynth_no_gadgets/vbe_adder_3/assembled.qasm,70,19,51,0.7285714285714285,18,8,10,396,539,0.03525046382189239,0.2676056338028169,20,19,1.0,0.10526315789473684,396,9,0.6428571428571429,10,0.7142857142857143,11,182,172,1720,0.011046511627906977,0.027777777777777776,0.5378787878787878,0.30621363132991036,ok,,inconclusive,"Inconclusive (took 0.111s)
Reduced form: 
(-1)^{01 + 02 + 1 + 12 + 2 + 3 + 4 + 5 + 7}|0⟩|1⟩|2⟩|3⟩|4⟩|1 + 5⟩|1 + 6⟩|7⟩|1 + 01 + 02 + 12 + 3 + 5 + 8⟩|1 + 01 + 015 + 016 + 018 + 02 + 025 + 026 + 028 + 12 + 125 + 126 + 128 + 3 + 35 + 36 + 38 + 5 + 56 + 58 + 6 + 8 + 9⟩",results/verification/entrega1/proofs/vbe_adder_3/public_resynth_no_gadgets.verify.txt
hamming_15_low,original,Original,original,vendored-local,arithmetic,L,17,ok,not-run,external/circuit-to-tensor/benchmarks/arithmetic/hamming_15_low/hamming_15_low.qasm,161,161,0,0.0,45,45,0,317,535,0.30093457943925234,0.811491935483871,116,115,1.4,0.27391304347826084,317,8,0.47058823529411764,9,0.5294117647058824,10,284,275,2475,0.06505050505050505,0.031545741324921134,0.10094637223974763,0.3361405519286388,ok,,not-applicable,,
hamming_15_low,pyzx,PyZX,pyzx,vendored-local,arithmetic,L,17,ok,not-run,results/pyzx/hamming_15_low/optimized.qasm,161,97,64,0.39751552795031053,45,21,24,634,1083,0.08956602031394276,0.49591002044989774,98,97,1.0,1.056701030927835,634,8,0.47058823529411764,15,0.8823529411764706,33,632,600,9000,0.010777777777777778,0.052050473186119876,0.0015772870662460567,0.2272715325457207,ok,,timeout,Timed out after 30s.,results/verification/entrega1/proofs/hamming_15_low/pyzx.verify.txt
hamming_15_low,alphatensor_public,AlphaTensor-public,public_resynth_no_gadgets,vendored-local,arithmetic,L,17,ok,not-run,results/public_resynth/public_resynth_no_gadgets/hamming_15_low/assembled.qasm,161,73,88,0.546583850931677,45,17,28,3646,4807,0.01518618681090077,0.13360175695461202,74,73,1.0,0.02054794520547945,3646,11,0.2391304347826087,38,0.8260869565217391,60,1568,1509,57342,0.001273063374141118,0.016456390565002744,0.5696653867251783,0.4239702987155161,ok,,timeout,Timed out after 30s.,results/verification/entrega1/proofs/hamming_15_low/public_resynth_no_gadgets.verify.txt
qcla_mod_7,original,Original,original,vendored-local,arithmetic,L,26,ok,not-run,external/circuit-to-tensor/benchmarks/arithmetic/qcla_mod_7/qcla_mod_7.qasm,413,413,0,0.0,40,40,0,249,1120,0.36875,0.85383502170767,296,295,1.4,0.2593220338983051,249,26,1.0,26,1.0,4,246,243,6318,0.06536878759100981,0.01606425702811245,0.008032128514056224,0.016286608923824452,ok,,not-applicable,,
qcla_mod_7,pyzx,PyZX,pyzx,vendored-local,arithmetic,L,26,ok,not-run,results/pyzx/qcla_mod_7/optimized.qasm,413,237,176,0.4261501210653753,40,25,15,783,2102,0.11274976213130353,0.5596221959858324,238,237,1.0,1.029535864978903,783,26,1.0,26,1.0,23,776,754,19604,0.01208936951642522,0.02937420178799489,0.007662835249042145,0.008292714260884022,ok,,timeout,Timed out after 30s.,results/verification/entrega1/proofs/qcla_mod_7/pyzx.verify.txt
qcla_mod_7,alphatensor_public,AlphaTensor-public,public_resynth_no_gadgets,vendored-local,arithmetic,L,26,ok,not-run,results/public_resynth/public_resynth_no_gadgets/qcla_mod_7/assembled.qasm,413,0,413,1.0,40,0,40,8888,10873,0.0,0.0,1,0,0.0,0.0,8888,0,0.0,0,0.0,,,0,0,0.0,1.0,1.0,1.0,ok,,timeout,Timed out after 30s.,results/verification/entrega1/proofs/qcla_mod_7/public_resynth_no_gadgets.verify.txt
