policy,scope,budget,groups,oracle_t_recovered,tcount_wins_vs_baseline,tcount_losses_vs_baseline,sign_test_p_one_sided,median_tcount_ratio_vs_baseline,median_tcount_ci_low,median_tcount_ci_high,qasm_wins_vs_baseline,qasm_losses_vs_baseline,median_qasm_ratio_vs_baseline,mean_log_tcount_ratio,random_mean_oracle_t_recovered,permutation_p_value
top1,groups,1,33,29,10,2,0.0192871,1,1,1,12,7,1,0.948853,18.814,0.0005
top2,groups,2,33,33,12,0,0.000244141,1,0.965517,1,16,4,1,0.937264,27.896,0.002
top3,groups,3,33,33,12,0,0.000244141,1,0.964912,1,16,4,1,0.937264,,
top4,groups,4,33,33,12,0,0.000244141,1,0.965517,1,16,3,1,0.937264,,
guarded_top1,groups,1,33,21,0,0,,1,1,1,0,0,1,1,21.000,1
guarded_top2,groups,2,33,32,11,0,0.000488281,1,1,1,15,3,1,0.945471,27.614,0.004
guarded_top3,groups,3,33,33,12,0,0.000244141,1,0.964912,1,16,3,1,0.937264,,
guarded_top4,groups,4,33,33,12,0,0.000244141,1,0.965517,1,16,3,1,0.937264,,
oracle_full_portfolio,groups,4,33,33,12,0,0.000244141,1,0.965517,1,16,3,1,0.937264,,
top1,targets,1,18,17,7,0,0.0078125,1,0.942857,1,7,4,1,0.935382,10.802,0
top2,targets,2,18,18,8,0,0.00390625,1,0.9,1,9,3,0.990854,0.920551,15.120,0.021
top3,targets,3,18,18,8,0,0.00390625,1,0.9,1,9,3,0.990854,0.920551,,
top4,targets,4,18,18,8,0,0.00390625,1,0.9,1,9,2,0.990854,0.920551,,
guarded_top1,targets,1,18,10,0,0,,1,1,1,0,0,1,1,10.000,1
guarded_top2,targets,2,18,17,7,0,0.0078125,1,0.942857,1,8,2,1,0.935382,14.193,0.0305
guarded_top3,targets,3,18,18,8,0,0.00390625,1,0.9,1,9,2,0.990854,0.920551,,
guarded_top4,targets,4,18,18,8,0,0.00390625,1,0.9,1,9,2,0.990854,0.920551,,
oracle_full_portfolio,targets,4,18,18,8,0,0.00390625,1,0.9,1,9,2,0.990854,0.920551,,
