target,objective_variant,best_run,best_status,best_tcount,best_beam_qasm_depth,best_beam_tdepth,best_beam_materializer,completed_runs,failed_runs,missing_runs
cuccaro_adder_n5,frontier_pair,article_extended,failed,,,,,,article_extended,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
cuccaro_adder_n5,mixed_pair,article_extended,failed,,,,,,"article_extended,journal_full_cuccaro_adder_n5","standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
gf_2pow2_mult,factor_count,article_core,ok,17.0,97.0,6.0,selected-beam-shared-parity-w32,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
gf_2pow2_mult,factor_count_pair_cap,article_core,ok,17.0,99.0,4.0,selected-beam-shared-parity-w16,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
gf_2pow2_mult,frontier_pair,article_core,ok,17.0,98.0,4.0,selected-beam-shared-parity-w32,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
gf_2pow2_mult,mixed_pair,article_core,ok,17.0,98.0,4.0,selected-beam-shared-parity-w32,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
gf_2pow4_mult,factor_count,journal_full_gf_2pow4_mult,ok,57.0,461.0,8.0,selected-beam-shared-parity-w32,"article_extended,journal_full_gf_2pow4_mult",,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
gf_2pow4_mult,factor_count_pair_cap,journal_full_gf_2pow4_mult,ok,55.0,462.0,8.0,selected-beam-shared-parity-w32,"article_extended,journal_full_gf_2pow4_mult",,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
gf_2pow4_mult,frontier_pair,article_extended,ok,64.0,465.0,9.0,selected-beam-shared-parity-w32,article_extended,,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
gf_2pow4_mult,mixed_pair,article_extended,ok,63.0,452.0,9.0,selected-beam-shared-parity-w32,"article_extended,journal_full_gf_2pow4_mult",,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
