task_index,num_tasks,circuit_id,method,method_status,original_qasm_artifact_path,candidate_qasm_artifact_path,tcount_before,tcount_after,verification_status,verification_error,proof_path,runtime_sec,original_normalization_status,candidate_normalization_status
11,24,qft_4,public_resynth_tensor_v3_phase_slack_aggressive,ok,external/circuit-to-tensor/benchmarks/arithmetic/qft_4/qft_4.qasm,results/public_resynth_tensor_v3_phase_slack_aggressive/public_resynth_tensor_v3_phase_slack_aggressive/qft_4/assembled.qasm,69,67,equal,,results/verification_tensor_v3_profiles/all/proofs/qft_4/public_resynth_tensor_v3_phase_slack_aggressive.verify.txt,0.4188821315765381,ok,ok
12,24,qft_4,public_resynth_tensor_v3_phase_slack_guarded,ok,external/circuit-to-tensor/benchmarks/arithmetic/qft_4/qft_4.qasm,results/public_resynth_tensor_v3_phase_slack_expanded/public_resynth_tensor_v3_phase_slack/qft_4/assembled.qasm,69,53,equal,,results/verification_tensor_v3_profiles/all/proofs/qft_4/public_resynth_tensor_v3_phase_slack_guarded.verify.txt,0.24026894569396973,ok,ok
13,24,vbe_adder_3,public_resynth_tensor_v3_phase_slack_aggressive,ok,external/circuit-to-tensor/benchmarks/arithmetic/vbe_adder_3/vbe_adder_3.qasm,results/public_resynth_tensor_v3_phase_slack_aggressive/public_resynth_tensor_v3_phase_slack_aggressive/vbe_adder_3/assembled.qasm,70,21,inconclusive,"Inconclusive (took 0.058s)
Reduced form:
(-1)^{014 + 015 + 024 + 025 + 124 + 125 + 34 + 35 + 4 + 45 + 6}|0⟩|1⟩|2⟩|3⟩|4⟩|5⟩|1 + 6⟩|7⟩|8⟩|9⟩",results/verification_tensor_v3_profiles/all/proofs/vbe_adder_3/public_resynth_tensor_v3_phase_slack_aggressive.verify.txt,0.07304215431213379,ok,ok
14,24,vbe_adder_3,public_resynth_tensor_v3_phase_slack_guarded,ok,external/circuit-to-tensor/benchmarks/arithmetic/vbe_adder_3/vbe_adder_3.qasm,results/public_resynth_tensor_v3_phase_slack_expanded/public_resynth_tensor_v3_phase_slack/vbe_adder_3/assembled.qasm,70,21,inconclusive,"Inconclusive (took 0.058s)
Reduced form:
(-1)^{014 + 015 + 024 + 025 + 124 + 125 + 34 + 35 + 4 + 45 + 6}|0⟩|1⟩|2⟩|3⟩|4⟩|5⟩|1 + 6⟩|7⟩|8⟩|9⟩",results/verification_tensor_v3_profiles/all/proofs/vbe_adder_3/public_resynth_tensor_v3_phase_slack_guarded.verify.txt,0.08142590522766113,ok,ok
15,24,barenco_tof_3,public_resynth_tensor_v3_phase_slack_aggressive,ok,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_3/barenco_tof_3.qasm,results/public_resynth_tensor_v3_phase_slack_aggressive/public_resynth_tensor_v3_phase_slack_aggressive/barenco_tof_3/assembled.qasm,28,14,equal,,results/verification_tensor_v3_profiles/all/proofs/barenco_tof_3/public_resynth_tensor_v3_phase_slack_aggressive.verify.txt,0.022586822509765625,ok,ok
16,24,barenco_tof_3,public_resynth_tensor_v3_phase_slack_guarded,ok,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_3/barenco_tof_3.qasm,results/public_resynth_tensor_v3_phase_slack_expanded/public_resynth_tensor_v3_phase_slack/barenco_tof_3/assembled.qasm,28,14,equal,,results/verification_tensor_v3_profiles/all/proofs/barenco_tof_3/public_resynth_tensor_v3_phase_slack_guarded.verify.txt,0.022233247756958008,ok,ok
17,24,barenco_tof_4,public_resynth_tensor_v3_phase_slack_aggressive,ok,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_4/barenco_tof_4.qasm,results/public_resynth_tensor_v3_phase_slack_aggressive/public_resynth_tensor_v3_phase_slack_aggressive/barenco_tof_4/assembled.qasm,56,28,inconclusive,"Inconclusive (took 0.066s)
Reduced form:
(-1)^{01 + 2}|0⟩|1⟩|2⟩|3⟩|4⟩|1 + 5⟩|23 + 3 + 6⟩",results/verification_tensor_v3_profiles/all/proofs/barenco_tof_4/public_resynth_tensor_v3_phase_slack_aggressive.verify.txt,0.08926892280578613,ok,ok
18,24,barenco_tof_4,public_resynth_tensor_v3_phase_slack_guarded,ok,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_4/barenco_tof_4.qasm,results/public_resynth_tensor_v3_phase_slack_aggressive/public_resynth_tensor_v3_phase_slack_aggressive/barenco_tof_4/assembled.qasm,56,28,inconclusive,"Inconclusive (took 0.066s)
Reduced form:
(-1)^{01 + 2}|0⟩|1⟩|2⟩|3⟩|4⟩|1 + 5⟩|23 + 3 + 6⟩",results/verification_tensor_v3_profiles/all/proofs/barenco_tof_4/public_resynth_tensor_v3_phase_slack_guarded.verify.txt,0.08159995079040527,ok,ok
19,24,hwb_6,public_resynth_tensor_v3_phase_slack_aggressive,ok,external/circuit-to-tensor/benchmarks/arithmetic/hwb_6/hwb_6.qasm,results/public_resynth_tensor_v3_phase_slack_aggressive/public_resynth_tensor_v3_phase_slack_aggressive/hwb_6/assembled.qasm,105,70,timeout,Timed out after 30s.,results/verification_tensor_v3_profiles/all/proofs/hwb_6/public_resynth_tensor_v3_phase_slack_aggressive.verify.txt,30.0169460773468,ok,ok
20,24,hwb_6,public_resynth_tensor_v3_phase_slack_guarded,ok,external/circuit-to-tensor/benchmarks/arithmetic/hwb_6/hwb_6.qasm,results/public_resynth_tensor_v3_phase_slack_aggressive/public_resynth_tensor_v3_phase_slack_aggressive/hwb_6/assembled.qasm,105,70,timeout,Timed out after 30s.,results/verification_tensor_v3_profiles/all/proofs/hwb_6/public_resynth_tensor_v3_phase_slack_guarded.verify.txt,30.005248069763184,ok,ok
21,24,nc_tof_3,public_resynth_tensor_v3_phase_slack_aggressive,ok,external/circuit-to-tensor/benchmarks/arithmetic/nc_tof_3/nc_tof_3.qasm,results/public_resynth_tensor_v3_phase_slack_aggressive/public_resynth_tensor_v3_phase_slack_aggressive/nc_tof_3/assembled.qasm,21,14,equal,,results/verification_tensor_v3_profiles/all/proofs/nc_tof_3/public_resynth_tensor_v3_phase_slack_aggressive.verify.txt,0.028723955154418945,ok,ok
22,24,nc_tof_3,public_resynth_tensor_v3_phase_slack_guarded,ok,external/circuit-to-tensor/benchmarks/arithmetic/nc_tof_3/nc_tof_3.qasm,results/public_resynth_tensor_v3_phase_slack_expanded/public_resynth_tensor_v3_phase_slack/nc_tof_3/assembled.qasm,21,14,equal,,results/verification_tensor_v3_profiles/all/proofs/nc_tof_3/public_resynth_tensor_v3_phase_slack_guarded.verify.txt,0.0235750675201416,ok,ok
23,24,nc_tof_4,public_resynth_tensor_v3_phase_slack_aggressive,ok,external/circuit-to-tensor/benchmarks/arithmetic/nc_tof_4/nc_tof_4.qasm,results/public_resynth_tensor_v3_phase_slack_aggressive/public_resynth_tensor_v3_phase_slack_aggressive/nc_tof_4/assembled.qasm,35,21,inconclusive,"Inconclusive (took 0.029s)
Reduced form:
|0⟩|1⟩|2⟩|3⟩|4⟩|1 + 5⟩|6⟩",results/verification_tensor_v3_profiles/all/proofs/nc_tof_4/public_resynth_tensor_v3_phase_slack_aggressive.verify.txt,0.0435328483581543,ok,ok
24,24,nc_tof_4,public_resynth_tensor_v3_phase_slack_guarded,ok,external/circuit-to-tensor/benchmarks/arithmetic/nc_tof_4/nc_tof_4.qasm,results/public_resynth_tensor_v3_phase_slack_expanded/public_resynth_tensor_v3_phase_slack/nc_tof_4/assembled.qasm,35,21,inconclusive,"Inconclusive (took 0.028s)
Reduced form:
|0⟩|1⟩|2⟩|3⟩|4⟩|1 + 5⟩|6⟩",results/verification_tensor_v3_profiles/all/proofs/nc_tof_4/public_resynth_tensor_v3_phase_slack_guarded.verify.txt,0.04696989059448242,ok,ok
